"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2584","MULTIPOINT(946975.919095782 1954187.21709693)","0","서부경찰서","서부구","","효림유치원","유치원","서울특별시 은평구 은평터널로 51","126.8994297","37.5855516"
"2585","MULTIPOINT(949088.098777291 1956274.47714628)","0","서부경찰서","서부구","","은평감리교회 어린이집","어린이집","서울특별시 은평구 응암로 376","126.9232067","37.6044835"
"2586","MULTIPOINT(948701.606099589 1954318.97834129)","0","서부경찰서","서부구","","유진어린이집","어린이집","서울특별시 은평구 응암로12길 26-10","126.9189653","37.586837"
"2587","MULTIPOINT(948751.717163351 1954774.11836884)","0","서부경찰서","서부구","","성아어린이집","어린이집","서울특별시 은평구 응암로16길 20-9","126.919501","37.590942"
"2588","MULTIPOINT(948735.204736524 1955134.93031072)","0","서부경찰서","서부구","","아이젤어린이집","어린이집","서울특별시 은평구 응암로22길 9-9","126.9192887","37.5941931"
"2589","MULTIPOINT(948932.258210185 1955102.74802025)","0","서부경찰서","서부구","","와우랩유치원","유치원","서울특별시 은평구 응암로28길 34","126.921523","37.593914"
"2590","MULTIPOINT(948120.339064009 1955361.08836405)","0","서부경찰서","서부구","","다우림유치원","유치원","서울특별시 은평구 증산로21길 22","126.912308","37.596197"
"2591","MULTIPOINT(947404.373270766 1953808.34530016)","0","서부경찰서","서부구","","증산초등","초등학교","서울특별시 은평구 증산서길 61","126.9043095","37.5821614"
"2592","MULTIPOINT(947663.154320055 1954008.06070578)","0","서부경찰서","서부구","","동산유치원","유치원","서울특별시 은평구 증산서길 88","126.907226","37.5839762"
"2593","MULTIPOINT(948906.229953287 1959395.91430666)","0","은평경찰서","은평구","","은진초등","초등학교","서울특별시 은평구 진관1로 21-20","126.9209282","37.632607"
"2594","MULTIPOINT(949143.029985903 1959153.87071939)","0","은평경찰서","은평구","","진관어린이집","어린이집","서울특별시 은평구 진관1로 40","126.9236287","37.6304386"
"2595","MULTIPOINT(949631.963149501 1959409.374816)","0","은평경찰서","은평구","","신도초등(병설포함)","초등학교","서울특별시 은평구 진관1로 77-23","126.929152","37.6327684"
"2596","MULTIPOINT(949630.994951644 1959411.22248732)","0","은평경찰서","은평구","","신도초등","초등학교","서울특별시 은평구 진관1로 77-23","126.9291409","37.632785"
"2597","MULTIPOINT(949792.708480153 1959624.21992767)","0","은평경찰서","은평구","","진관유치원","유치원","서울특별시 은평구 진관2로 111-16","126.930958964","37.6347136025"
"2598","MULTIPOINT(948612.617109159 1959889.06658985)","0","은평경찰서","은평구","","숲유치원","유치원","서울특별시 은평구 진관2로 37","126.917566","37.6370354"
"2599","MULTIPOINT(948828.54190055 1959680.89431359)","0","은평경찰서","은평구","","은빛초등","초등학교","서울특별시 은평구 진관3로 73-17","126.9200278","37.6351712"
