학교명,주소
서울삼각산초등학교,서울특별시 강북구 삼양로19길 141
서울번동초등학교,서울특별시 강북구 오현로 204
서울미양초등학교,서울특별시 강북구 솔샘로 195
서울미아초등학교,서울특별시 성북구 삼양로 77
서울동신초등학교,서울특별시 성북구 보문사길 50
서울돈암초등학교,서울특별시 성북구 동소문로13길 38
서울길음초등학교,서울특별시 성북구 길음로 142
서울길원초등학교,서울특별시 성북구 길음로15길 55
서울개운초등학교,서울특별시 성북구 정릉로48길 52
서울자곡초등학교,서울특별시 강남구 자곡로 150
서울율현초등학교,서울특별시 강남구 밤고개로21길 15
서울우솔초등학교,서울특별시 서초구 양재대로2길 74
서울세명초등학교,서울특별시 강남구 자곡로 55
서울우면초등학교,서울특별시 서초구 태봉로
서울학동초등학교,서울특별시 강남구 선릉로115길 42
서울포이초등학교,서울특별시 강남구 개포로22길 87
서울청담초등학교,서울특별시 강남구 압구정로71길 9
서울잠원초등학교,서울특별시 서초구 신반포로16길 15-25
서울일원초등학교,서울특별시 강남구 영동대로4길 20
서울이수초등학교,서울특별시 서초구 방배천로4길 23
서울원촌초등학교,서울특별시 서초구 사평대로45길 26
서울원명초등학교,서울특별시 서초구 고무래로 90-6
서울우암초등학교,서울특별시 서초구 바우뫼로7길 38
서울왕북초등학교,서울특별시 강남구 광평로31길 74
서울영희초등학교,서울특별시 강남구 일원로 21
서울역삼초등학교,서울특별시 강남구 강남대로66길 21
서울언주초등학교,서울특별시 강남구 남부순환로363길 19
서울언북초등학교,서울특별시 강남구 삼성로135길 42
서울언남초등학교,서울특별시 서초구 헌릉로8길 42
서울양전초등학교,서울특별시 강남구 개포로 513
서울양재초등학교,서울특별시 서초구 바우뫼로18길 14
서울압구정초등학교,서울특별시 강남구 압구정로39길 29
서울신중초등학교,서울특별시 서초구 남부순환로317길 15
서울신동초등학교,서울특별시 서초구 나루터로 15
서울신구초등학교,서울특별시 강남구 압구정로18길 28
서울수서초등학교,서울특별시 강남구 광평로51길 46
서울서초초등학교,서울특별시 서초구 서운로 178
서울서일초등학교,서울특별시 서초구 남부순환로339길 38
서울서이초등학교,서울특별시 서초구 서운로 35
서울서원초등학교,서울특별시 서초구 고무래로 63
서울서래초등학교,서울특별시 서초구 방배로 260
서울삼릉초등학교,서울특별시 강남구 봉은사로63길 22
서울봉은초등학교,서울특별시 강남구 학동로 610
서울방현초등학교,서울특별시 서초구 효령로4길 58
서울방일초등학교,서울특별시 서초구 방배로18길 52
서울방배초등학교,서울특별시 서초구 방배중앙로13길 26
서울반포초등학교,서울특별시 서초구 신반포로 55-4
서울반원초등학교,서울특별시 서초구 잠원로3길 28
서울매헌초등학교,서울특별시 서초구 언남길 8
서울도성초등학교,서울특별시 강남구 역삼로 313
서울도곡초등학교,서울특별시 강남구 선릉로64길 33
서울대현초등학교,서울특별시 강남구 역삼로98길 16
서울대치초등학교,서울특별시 강남구 양재천로 363
서울대청초등학교,서울특별시 강남구 양재대로55길 28
서울대진초등학교,서울특별시 강남구 개포로109길 74
서울대왕초등학교,서울특별시 강남구 헌릉로618길 8
서울대모초등학교,서울특별시 강남구 광평로20길 27
서울대도초등학교,서울특별시 강남구 선릉로 209
서울대곡초등학교,서울특별시 강남구 남부순환로 3022
서울논현초등학교,서울특별시 강남구 강남대로120길 33
서울구룡초등학교,서울특별시 강남구 개포로 263
서울개포초등학교,서울특별시 강남구 삼성로4길 30
서울개일초등학교,서울특별시 강남구 개포로 401
서울개원초등학교,서울특별시 강남구 선릉로 29
계성초등학교,서울특별시 서초구 신반포로19길 23
서울교육대학교부설초등학교,서울특별시 서초구 서초중앙로 96
유석초등학교,서울특별시 강서구 화곡로69길 9
서울신은초등학교,서울특별시 양천구 신정이펜2로 30
서울화일초등학교,서울특별시 강서구 까치산로10길 70
서울화곡초등학교,서울특별시 강서구 초록마을로 28
서울탑산초등학교,서울특별시 강서구 허준로 109
서울치현초등학교,서울특별시 강서구 방화대로47길 43
서울지향초등학교,서울특별시 양천구 신정로11길 74
서울정목초등학교,서울특별시 양천구 목동중앙로3길 30-10
서울정곡초등학교,서울특별시 강서구 방화대로50길 22
서울장수초등학교,서울특별시 양천구 신정로13가길 30
서울은정초등학교,서울특별시 양천구 목동남로 85
서울월촌초등학교,서울특별시 양천구 목동중앙로 132
서울월정초등학교,서울특별시 강서구 월정로 176
서울우장초등학교,서울특별시 강서구 화곡로 263
서울영도초등학교,서울특별시 양천구 목동중앙로 70
서울염창초등학교,서울특별시 강서구 양천로 646-28
서울염동초등학교,서울특별시 강서구 양천로73길 17
서울염경초등학교,서울특별시 강서구 양천로69길 49
서울양화초등학교,서울특별시 양천구 목동중앙북로16길 57
서울양천초등학교,서울특별시 강서구 양천로 329
서울양원초등학교,서울특별시 양천구 화곡로 16
서울양목초등학교,서울특별시 양천구 목동로11길 30
서울양명초등학교,서울특별시 양천구 중앙로 204
서울양동초등학교,서울특별시 양천구 오목로23길 24
서울양강초등학교,서울특별시 양천구 오목로 101
서울신정초등학교,서울특별시 강서구 곰달래로31가길 27
서울신월초등학교,서울특별시 강서구 강서로31길 48
서울신원초등학교,서울특별시 양천구 남부순환로58길 32
서울신서초등학교,서울특별시 양천구 목동서로10길 35
