지역구,어린이집명,주소
도봉구,도봉구육아종합지원센터 방과후교실,서울특별시 도봉구 방학로12길 28 (방학동)
중랑구,세모네모재능어린이집,서울특별시 중랑구 중랑역로 72-8 (중화동)
은평구,예랑키즈어린이집,서울특별시 은평구 갈현로7길 20 (역촌동)
송파구,함께하는어린이집,서울특별시 송파구 풍성로14길 19 현대아파트 106호 (풍납동)
용산구,선인방과후교실어린이집,서울특별시 용산구 효창원로8길 17 선인중앙교회 (원효로4가)
동작구,예동영재어린이집,서울특별시 동작구 사당로2길 64 (사당동)
양천구,세신방과후교실,서울 양천구 신정6동 322-2
노원구,아이빛나어린이집,"서울특별시 노원구 마들로 111 21동 102호(월계동, 미륭)"
노원구,푸르미엔젤어린이집,"서울특별시 노원구 한글비석로 530 1208동 101호(상계동, 상계주공12단지아파트)"
노원구,키움아이어린이집,"서울특별시 노원구 마들로3길 37 405동 102호(월계동, 성원아파트)"
마포구,도담어린이집,"서울특별시 마포구 상암산로1길 92 709동 1층(상암동, 상암월드컵파크7단지아파트)"
마포구,성산아트어린이집,서울특별시 마포구 새터산2길 38 성산아트어린이집 (성산동)
금천구,신광어린이집,서울특별시 금천구 독산로80가길 14 (독산동)
은평구,대조제일교회방과후어린이집,서울특별시 은평구 역말로10가길 22-12
서대문구,성결방과후교실어린이집,서울특별시 서대문구 신촌로 331 (북아현동)
금천구,도담어린이집,서울 금천구 시흥1동 무지개아파트1동120호
송파구,브니엘어린이집,"서울특별시 송파구 동남로 193 303동 109호(가락동, 가락1차쌍용아파트)"
동대문구,예든어린이집,"서울특별시 동대문구 장한로26다길 84 201동 105호(장안동, 현대홈타운아파트)"
서대문구,꾸러기어린이집,"서울특별시 서대문구 세검정로1길 93 103동 103호(홍은동, 벽산아파트)"
동작구,동작상도 방과후교실어린이집,서울특별시 동작구 상도로39길 47 462번지1층
강동구,강동빅스맘어린이집,서울특별시 강동구 상일로7길 12-5 (상일동 240)
도봉구,곰달래어린이집,서울 도봉구 창1동 주공3단지아파트 주공아파트317동105호
은평구,비손어린이집,서울특별시 은평구 갈현로5길 32
은평구,예나어린이집,서울특별시 은평구 통일로73길 5-6
은평구,무지개어린이집,서울특별시 은평구 불광로 162-9
구로구,늘푸른솔어린이집,서울특별시 구로구 고척로52가길 81 라이프주택 101호 (고척동)
강북구,푸르른어린이집,서울특별시 강북구 인수봉로72가길 6 (수유동)
중랑구,꿈동이어린이집,"서울특별시 중랑구 사가정로42길 90 ,501동 101호(면목동, 면목두산아파트)"
노원구,동원어린이집,"서울특별시 노원구 월계로53길 21 101동 101호(월계동, 동원베네스트)"
노원구,아이천사어린이집,"서울특별시 노원구 동일로208길 19 201동 107호(중계동, 무지개아파트)"
중랑구,아름뜰어린이집,"서울특별시 중랑구 상봉중앙로8길 76 1509동 101호(상봉동, 건영캐스빌)"
도봉구,이화젠어린이집,서울특별시 도봉구 우이천로4라길 11-14 신도브래뉴2차 단지내 (창동)
성북구,아이파크,"서울특별시 성북구 종암로9길 71 203동 102호(종암동, 현대아이파크2차아파트)"
성북구,아이파크 어린이집,"서울특별시 성북구 종암로9길 71 203-102(종암동, 현대아이파크2차아파트)"
성북구,사랑어린이집,"서울특별시 성북구 솔샘로 120 124동 105호(정릉동, 풍림아이원)"
강서구,가람 어린이집,서울특별시 강서구 곰달래로53길 112 (화곡동)
송파구,다온어린이집,서울특별시 송파구 거마로7길 42 (거여동)
마포구,엘프어린이집,서울특별시 마포구 상암산로1길 52 월드컵파크 5단지 505동 1층
노원구,미키미니어린이집,서울특별시 노원구 초안산로1길 18 (월계2동 주공아파트2단지 관리사무소 2층)
노원구,행복이가득한어린이집,서울특별시 노원구 한글비석로24바길 17 (상계동)
광진구,서울서광어린이집,서울특별시 광진구 자양로 238 (구의2동)
은평구,꿈나래어린이집,서울특별시 은평구 갈현로4길 9-1
강서구,아이뜰어린이집,"서울특별시 강서구 강서로17가길 14 나동 101호(화곡동, 계명아파트)"
종로구,다솔 방과후교실,서울특별시 종로구 통일로8길 16 (송월동)
강서구,별강서어린이집,서울특별시 강서구 까치산로22길 10 (화곡동)
성북구,한빛어린이집,서울특별시 성북구 성북동1가 성북로 37 한빛 어린이집
강동구,해피트리어린이집,서울특별시 강동구 명일로 238 (길동 99-1 )
강동구,민들레어린이집,서울특별시 강동구 천중로51길 88 (명일동)
구로구,유앤아이사랑어린이집,"서울특별시 구로구 중앙로15길 151 103동 101호(고척동, 한일유앤아이아파트)"
중랑구,성애어린이집,서울특별시 중랑구 신내로8길 46 성애어린이집 (신내동)
도봉구,하늘땅별땅어린이집,"서울특별시 도봉구 해등로12길 44 205동 101호(창동, 주공2단지아파트)"
성북구,성은몬테소리어린이집,서울 성북구 정릉2동 410-73
강북구,무지개 어린이집,서울특별시 강북구 삼양로19길 113 삼각산아이원아파트 101동 101호
금천구,조은어린이집,서울 금천구 독산4동 193-1
송파구,하늘어린이집,서울특별시 송파구 양재대로72길 52 오륜파크빌103호 (오금동)
금천구,이드어린이집,서울특별시 금천구 탑골로 25 (시흥동)
중랑구,해나어린이집,"서울특별시 중랑구 신내로19길 42 612동 101호(신내동, 신내대주아파트)"
동작구,강남방과후교실어린이집,"서울특별시 동작구 만양로 76 2층 (노량진동,강남교회)"
강동구,중흥교회방과후교실,서울 강동구 성내3동 430-2
서대문구,하린어린이집,서울특별시 서대문구 연희로11마길 52 (연희동)
은평구,하늘한조각어린이집,서울특별시 은평구 역말로 14 (역촌동)
은평구,새암어린이집,서울특별시 은평구 연서로24길 3-1
서대문구,청목어린이집,서울특별시 서대문구 홍은중앙로11길 13 (홍은동)
강서구,뿡뿡이어린이집,서울특별시 강서구 강서로16길 52 혜성펠리스빌라102호 (화곡동)
도봉구,리라어린이집,서울특별시 도봉구 방학로10길 40 (방학동)
동작구,아이엠어린이집,서울특별시 동작구 여의대방로10길 13 한성아파트단지내 (신대방동)
서초구,푸르니작은 어린이집,서울특별시 서초구 서리풀4길 9 (서초동)
마포구,구립 용강어린이집,서울특별시 마포구 토정로37가길 34
광진구,엄마사랑어린이집,서울특별시 광진구 면목로 164 (중곡동)
강서구,강서구청어린이집,"서울특별시 강서구 화곡로44나길 72 1층,2층 강서구청어린이집"
마포구,리틀킹 어린이집,서울 마포구 연남동 571-10
은평구,라온어린이집,서울특별시 은평구 진흥로9길 12 (역촌동)
은평구,새솔어린이집,서울특별시 은평구 증산로17가길 14 (신사동)
동작구,영성방과후교실,서울특별시 동작구 국사봉1길 146 영성교회1층 (상도동)
성북구,중앙어린이집,서울특별시 성북구 정릉로26길 8 중앙하이츠빌 2단지 관리동1층 (정릉동)
광진구,푸르내어린이집,서울특별시 광진구 긴고랑로36길 15 (중곡동)
동대문구,아뜰어린이집,서울특별시 동대문구 안암로 6 대광고등학교내 (신설동)
노원구,한내방과후교실,서울 노원구 하계2동 272-2
용산구,한남어린이집,서울특별시 용산구 대사관로5길 1 (한남동)
성북구,해와별 어린이집,"서울특별시 성북구 화랑로48길 16 108동 101호(석관동, 두산아파트)"
동작구,사당숭실방과후교실,서울특별시 동작구 사당로14길 20 사당종합사회복지관 (사당동)
성동구,자람 어린이집,"서울특별시 성동구 금호로 100 202동 103호(금호1가동, 벽산아파트)"
영등포구,해달별 아이사랑어린이집,서울특별시 영등포구 대림로23가길 2-1
구로구,우림어린이집,서울특별시 구로구 서해안로 2368 우림필유상가동 (오류동)
구로구,리틀아이어린이집,"서울특별시 구로구 구로중앙로7길 28 2동 106호(구로동, 극동아파트)"
강동구,자이젠어린이집,서울특별시 강동구 천호대로199길 25 (길동 123-2)
강서구,세화어린이집,서울특별시 강서구 화곡로53길 56-14
광진구,에바다어린이집,서울특별시 광진구 긴고랑로44길 34 (중곡동)
광진구,수정어린이집,서울특별시 광진구 천호대로102길 41 (군자동)
도봉구,다다베베어린이집,"서울특별시 도봉구 노해로 384 3동 107호(창동, 동아아파트)"
양천구,크는나무어린이집,서울특별시 양천구 신목로5길 5 개진빌딩1층 (신정동)
양천구,세진어린이집,서울특별시 양천구 곰달래로 28 (신월동)
은평구,꿈모아어린이집,서울특별시 은평구 갈현로4길 5-16
양천구,캔디어린이집,"서울특별시 양천구 신정로11길 20 201동 104호(신정동, 동일하이빌아파트)"
노원구,다솜아이어린이집,"서울특별시 노원구 동일로215길 23 219동 101호(상계동, 주공아파트)"
강서구,현대i어린이집,서울특별시 강서구 강서로 348 우장산 힐스테이트 관리동 1층
마포구,깊은샘어린이집,서울특별시 마포구 성암로5길 15-9
영등포구,아해뜰어린이집,서울특별시 영등포구 도림로47길 27 (대림동)
양천구,가온누리어린이집,"서울특별시 양천구 오목로15길 9 3동 101호(신월동, 동양부로미아파트)"
노원구,예솔어린이집,"서울특별시 노원구 석계로13길 6-9 101동 102호(월계동, 장은아파트)"
은평구,예다운어린이집,서울특별시 은평구 연서로3길 30 (역촌동)
관악구,행복한사랑어린이집,서울특별시 관악구 남부순환로231길 46-9 (봉천동)  [행운동]
강서구,상아베베어린이집,서울특별시 강서구 강서로56가길 55 1층 상아베베어린이집
관악구,예대어린이집,서울특별시 관악구 양녕로2가길 41 중앙동] (봉천동)
은평구,은평사임당어린이집,서울특별시 은평구 진흥로12나길 1-31
강북구,푸른초원어린이집,서울특별시 강북구 도봉로99길 48 (수유동)
양천구,해와별어린이집,"서울특별시 양천구 신정로7길 60-7 406동 101호(신정동, 푸른마을아파트)"
강서구,예쁜어린이집,서울특별시 강서구 초록마을로 31 (화곡동)
성북구,나눔 어린이집,서울 성북구 석관1동 10 두산아파트 104동 101호
구로구,한신타운어린이집,"서울특별시 구로구 고척로 52 102동 104호(오류동, 한신아파트)"
구로구,세라핌어린이집,서울특별시 구로구 고척로18길 92 오류동감리교회 세라핌어린이집 (오류동)
도봉구,엄마랑어린이집,"서울특별시 도봉구 해등로 229 7동 101호(쌍문동, 한양아파트)"
송파구,이루리어린이집,서울특별시 송파구 백제고분로50길 19-15
강서구,자연어린이집,"서울특별시 강서구 방화대로 259 101동 104호(공항동,해태아파트)"
광진구,샘물어린이집,서울특별시 광진구 뚝섬로58길 56 (자양동)
광진구,산위의마을어린이집,서울특별시 광진구 용마산로7길 39 (중곡동)
도봉구,지앤지어린이집,서울특별시 도봉구 삼양로 574-44
구로구,현경어린이집,서울특별시 구로구 부일로11길 105 (궁동)
금천구,다사랑 방과후교실,서울특별시 금천구 독산로64길 49 (독산동)
도봉구,거성신나라어린이집,서울 도봉구 방학1동 701-15번지 거성학마을 아파트 101동 104호
성북구,예달미어린이집,서울 성북구 안암동1가 361번지 래미안아파트 관리동1층
영등포구,온머리어린이집,"서울특별시 영등포구 영등포로 351 102동 101호(신길동, 신길동경남아파트)"
노원구,꼬꼬마어린이집,"서울특별시 노원구 공릉로46길 32 107동 111호(공릉동, 삼익)"
노원구,작은꽃영아어린이집,"서울특별시 노원구 노원로 532 915동 102호(상계동, 주공아파트)"
노원구,노리하우스엘리어린이집,"서울특별시 노원구 월계로45길 21 102동 104호(월계동, 롯데캐슬루나아파트)"
영등포구,리틀다빈어린이집,서울특별시 영등포구 대림로22다길 7-2
은평구,해맑은kids어린이집,서울특별시 은평구 역말로 131 1층 해맑은 키즈 어린이집
은평구,오르다 어린이집,서울 은평구 역촌2동 66-57
금천구,지역어린이집,서울특별시 금천구 독산로108길 54 (독산동)
도봉구,삼익아이어린이집,"서울특별시 도봉구 해등로 169 106동 103호(쌍문동, 삼익세라믹아파트)"
광진구,동원어린이집,서울특별시 광진구 자양로 180-1 (구의동)
구로구,하늘샘어린이집,서울특별시 구로구 개봉로18길 17 (개봉동)
강동구,아해뜰어린이집,"서울특별시 강동구 상일로11길 95 522동 103호(상일동, 고덕주공5차아파트)"
성북구,베베스쿨 어린이집,"서울특별시 성북구 정릉로 404 103동 106호(돈암동, 현대아파트)"
양천구,아기천사어린이집,"서울특별시 양천구 중앙로55길 59 201동 101호(신월동, 방주기픈샘아파트)"
구로구,아이꿈터어린이집,"서울특별시 구로구 중앙로12길 12 102동 103호(고척동, 센츄리아파트)"
송파구,햇빛어린이집,서울 송파구 신천동 20번지 파크리오219-102호
동대문구,두산오르다어린이집,서울특별시 동대문구 답십리로56길 8 (답십리동)
영등포구,은석어린이집,서울특별시 영등포구 여의대방로23길 11 (신길동)
동작구,해와별어린이집,"서울특별시 동작구 만양로8길 50 105동 102호(노량진동, 우성아파트)"
노원구,동도삐아제어린이집,"서울특별시 노원구 한글비석로19길 15 101동 108호(중계동, 동도센트리움아파트)"
서대문구,연희이화어린이집,서울특별시 서대문구 연희맛로 17-63 연희이화어린이집 (연희동)
노원구,아이Love어린이집,"서울특별시 노원구 중계로12길 24 101동 108호(중계동, 금호타운아파트)"
성북구,꿈싹어린이집,서울특별시 성북구 장위로45길 2-20 (장위동)
구로구,편한어린이집,서울 구로구 구로4동 739-48
영등포구,여의도순복음어린이집,서울특별시 영등포구 국회대로76길 25 (여의도동)
성북구,새꽃다지어린이집,서울특별시 성북구 장월로17길 8 (장위동)
강북구,연부어린이집,서울특별시 강북구 도봉로34길 43-36
노원구,까꿍어린이집,서울 노원구 중계1동 성원아파트 102-101
은평구,행복한아이들어린이집,서울특별시 은평구 응암로16길 28 (응암동)
영등포구,상아랜드어린이집,서울특별시 영등포구 신길로8길 11 (신길동)
강서구,보솜어린이집,"서울특별시 강서구 공항대로43길 39 1106동 1층 6호(등촌동, 등촌주공11단지아파트)"
은평구,하나로사랑담어린이집,서울특별시 은평구 서오릉로 235
동대문구,리틀짐랜드어린이집,서울특별시 동대문구 이문로25길 17 이문로25길17(이문동)
성북구,숲속어린이집,서울특별시 성북구 돌곶이로 43-11
관악구,사랑마루어린이집,"서울특별시 관악구 미성7길 5-6 103호(신림동,미래한건아파트)  [미성동]"
노원구,다니엘어린이집,"서울특별시 노원구 노원로 564 1012동 101호(상계동, 상계주공10차)"
성북구,아이동산어린이집,"서울특별시 성북구 종암로9길 71 214동 101호(종암동, 현대아이파크2차아파트)"
종로구,만나어린이집,서울특별시 종로구 혜화로14길 19 (혜화동)
도봉구,한별키즈어린이집,서울특별시 도봉구 마들로 672-26 한별키즈어린이집
노원구,꼬마친구어린이집,"서울특별시 노원구 한글비석로14길 37 201동 101호(중계동, 중앙하이츠)"
마포구,선민방과후교실,서울 마포구 연남동 481-13 20/9
강북구,구립수유2동어린이집,서울특별시 강북구 삼양로138길 18 (수유동)
노원구,꽃피는어린이집,서울 노원구 상계9동 주공@ 1206동 101호
양천구,고려창의스쿨어린이집,서울특별시 양천구 은행정로7길 24 (신정동)
동작구,탑키즈어린이집,서울특별시 동작구 여의대방로36길 17-1
은평구,해사랑어린이집,서울 은평구 역촌2동 52-5
광진구,구립 상명어린이집,서울특별시 광진구 동일로80길 30 (중곡동)
양천구,아가사랑어린이집,"서울특별시 양천구 목동동로 350 510동 106호(목동, 목동5단지아파트)"
광진구,새롬어린이집,"서울특별시 광진구 구의강변로 94 601동 105호(구의동, 구의현대6단지아파트)"
노원구,큰나무숲어린이집,"서울특별시 노원구 동일로245길 162 110동 112호(상계동, 은빛1단지아파트)"
성동구,딩동댕어린이집,서울특별시 성동구 둘레13길 15 (성수동2가)
서초구,다솜어린이집,서울특별시 서초구 반포대로 180 다솜어린이집[서초경찰서 맞은편]
중랑구,가온누리어린이집,서울특별시 중랑구 동일로99길 38 (면목동)
노원구,하늘땅 어린이집,"서울특별시 노원구 동일로207길 186 101동 102호(하계동, 학여울청구아파트)"
도봉구,별사탕어린이집,"서울특별시 도봉구 마들로 684-9 113동 103호(도봉동, 서원아파트)"
노원구,꿈자람영아어린이집,서울 노원구 중계2동 중계그린아파트 105-106
동작구,동작구보육정보센터,서울 동작구 대방동
강서구,새빛어린이집,서울특별시 강서구 화곡로18길 14-41 1층 새빛어린이집
노원구,풍림아이원어린이집,"서울특별시 노원구 화랑로47길 38 105동 101호(월계동, 풍림아이원)"
도봉구,예원키즈어린이집,서울특별시 도봉구 도봉로145길 95 예원키즈어린이집
노원구,이레뜰어린이집,서울특별시 노원구 동일로192나길 26 101동 105호
금천구,한아름어린이집,서울특별시 금천구 독산로41가길 25 (시흥동)
양천구,웬디어린이집,"서울특별시 양천구 신목로 77 101동 102호(신정동, 유원목동아파트)"
강서구,작은꽃어린이집,"서울특별시 강서구 양천로28길 29 103동 101호(방화동, 우림루미아파트)"
도봉구,인화어린이집,서울특별시 도봉구 노해로54길 84 (쌍문동)
성북구,성북청소년수련관 방과후교실 어린이집,서울특별시 성북구 한천로 660-9 시립성북청소년수련관 (장위동)
송파구,리나어린이집,서울특별시 송파구 송이로2길 20 (송파동)
송파구,파란어린이집,서울특별시 송파구 풍성로 52
마포구,합정 방과후 교실,서울특별시 마포구 망원로10길 11-16
은평구,신사엔젤어린이집,서울특별시 은평구 은평로3가길 32 (신사동)
성북구,키노어린이집,"서울특별시 성북구 정릉로26길 8 205동 102호(정릉동, 중앙하이츠빌아파트)"
성동구,서울 성동구육아종합지원센터,서울특별시 성동구 행당동 고산자로16길 10-53 지하1층/2층/3층
강북구,사과나무어린이집,서울특별시 강북구 한천로 1163-6 (수유동)
노원구,샬롬아이어린이집,"서울특별시 노원구 노해로 508 617동 112호(상계동, 주공아파트)"
도봉구,참솔어린이집,서울특별시 도봉구 시루봉로13가길 23-21 참솔어린이집 (방학동)
성북구,리틀피카소어린이집,서울특별시 성북구 장위로 132 (장위동)
관악구,참좋은방과후교실어린이집,서울특별시 관악구 봉천로 540 (낙성대동)
도봉구,유경키즈어린이집,서울 도봉구 방학1동 삼성래미안아파트1차 109동 104호
강서구,사랑가정어린이집,서울특별시 강서구 화곡로53가길 26 상아빌라102호 (화곡동)
강서구,나나아트스쿨어린이집,서울특별시 강서구 등촌로13바길 46 (화곡동)
은평구,예원사랑어린이집,서울특별시 은평구 연서로18가길 4 (대조동)
금천구,백상어린이집,서울특별시 금천구 탑골로3길 50 구현대아파트 단지내 시흥동
강서구,선재몬테소리 어린이집,서울특별시 강서구 강서로16길 44 (화곡동)
마포구,아현방과후교실,서울특별시 마포구 신촌로 212 (아현동)
송파구,요엘비전어린이집,서울특별시 송파구 성내천로49길 2-1
강서구,명지어린이집,"서울특별시 강서구 등촌로13아길 44 101동 106호(화곡동, 명지해드는터 아파트)"
노원구,즐거운베이비스쿨어린이집,"서울특별시 노원구 한글비석로54길 92 1304동 102호(상계동, 상계주공13차)"
노원구,예쁜별어린이집,"서울특별시 노원구 공릉로46길 32 101동 101호(공릉동, 삼익)"
영등포구,작은꼬마어린이집,"서울특별시 영등포구 여의대방로5길 6 1동 108호(신길동, 우창아파트)"
구로구,꼬마숲예지어린이집,"서울특별시 구로구 가마산로20다길 41 가동 101호(구로동, 골드마인아파트)"
마포구,새싹그림마을어린이집,서울특별시 마포구 연남로1길 8-6
노원구,이솝i어린이집,"서울특별시 노원구 동일로230가길 15 101-101(상계동, 우방아파트)"
성동구,구립 성원어린이집,서울특별시 성동구 뚝섬로3길 18 (성수동1가)
노원구,종이나라i어린이집,"서울특별시 노원구 마들로 127 35동 101호(월계동, 삼호)"
중랑구,자연어린이집,서울특별시 중랑구 용마산로114길 4 (망우동)
서대문구,아이꿈어린이집,서울 서대문구 북가좌2동 336-17
노원구,좋은나무어린이집,"서울특별시 노원구 동일로237길 37 102동 105호(상계동, 상계현대1차)"
구로구,예꿈어린이집,"서울특별시 구로구 개봉로20길 6 102동 102호(개봉동, 현대아파트)"
영등포구,엄마품어린이집,서울 영등포구 신길7동 2381
마포구,삼성푸른숲어린이집,"서울특별시 마포구 마포대로11길 50 409동 1층(공덕동, 공덕래미안4차아파트)"
마포구,경기어린이집,서울특별시 마포구 양화로1길 108 (합정동)
중랑구,태영어린이집,"서울특별시 중랑구 상봉중앙로8길 104 1408동 101호(상봉동, 태영데시앙아파트)"
구로구,자연어린이집,서울특별시 구로구 고척로33길 20 (고척동)
강서구,단꿈어린이집,"서울특별시 강서구 양천로47길 118 104동 101호 (마곡동, 벽산아파트)"
구로구,큰사랑한신어린이집,"서울특별시 구로구 구일로8길 63 1동 111호(구로동, 한신1차아파트)"
도봉구,예쁜꼬마어린이집,"서울특별시 도봉구 덕릉로59아길 17 107동 103호(창동, 창동대우아파트)"
도봉구,채송화어린이집,"서울특별시 도봉구 마들로 616 203동 102호(방학동, 대상타운현대아파트)"
금천구,새롬어린이집,서울 금천구 가산동 148-50 새롬어린이집
강동구,오륜레인보우어린이집,서울특별시 강동구 양재대로81길 34 (성내동 442-13)
동작구,베베애플어린이집,"서울특별시 동작구 상도로30길 39 102동 102호(상도동, 두산위브아파트)"
노원구,영재창의어린이집,"서울특별시 노원구 노해로 508 625동 102호(상계동, 상계주공6차)"
구로구,별나라어린이집,"서울특별시 구로구 신도림로11가길 36 5동 101호(신도림동, 미성아파트)"
성북구,보리수 어린이집,서울특별시 성북구 돌곶이로34길 4-14
금천구,꼬마정원어린이집,서울특별시 금천구 독산로36길 95 (시흥동)
금천구,아가페어린이집,서울특별시 금천구 독산로60길 38 (독산동)
성북구,새오름어린이집,서울 성북구 석관2동 338-415
강서구,해다미어린이집,서울특별시 강서구 곰달래로35길 13 (화곡동)
서초구,소망어린이집,서울 서초구 잠원동 신반포한신아파트 313동108호
은평구,연신어린이집,서울특별시 은평구 통일로92길 30 (불광동)
강서구,큰별어린이집,"서울특별시 강서구 화곡로63가길 71 1005동 106호(등촌동, 등촌주공10단지아파트)"
강북구,동화나라어린이집,서울특별시 강북구 노해로27길 48 (수유동)
성동구,성수영유아플라자,
성동구,성동구육아종합지원센터,
성동구,금호키즈카페 금호장난감세상,
성동구,옥수장난감세상,
성동구,왕십리장난감세상,
성동구,뮤직키즈스튜디오,
성동구,무지개장난감세상노올터,
강서구,태양어린이집,"서울특별시 강서구 초록마을로 121 101동 103호(화곡동, 태창네스트힐)"
구로구,아기수잔나어린이집,서울특별시 구로구 고척로51길 58 고척동
은평구,로얄키즈 어린이집,서울특별시 은평구 응암로14길 26-1
강동구,밤비어린이집,서울특별시 강동구 풍성로37길 40-19 (성내동 140-5)
서대문구,아이천사어린이집,"서울특별시 서대문구 이화여대8길 62 105동 105호(북아현동, 두산아파트)"
마포구,삼성래미안어린이집,서울특별시 마포구 마포대로7길 22 삼성래미안공덕3차아파트 복지관1층 (공덕동)
구로구,꿈이있는 방과후교실어린이집,서울특별시 구로구 벚꽃로 484 화원종합사회복지관내 (구로동)
노원구,꿈이크는어린이집,"서울특별시 노원구 한글비석로 530 1206동 101호 (상계동, 주공12단지아파트)"
강동구,소담사임당어린이집,"서울특별시 강동구 양재대로121길 50 101동 104호(천호동, 예전이룸아파트)"
노원구,공동육아통통어린이집,서울특별시 노원구 동일로236길 60-4
강동구,삼성어린이집,"서울특별시 강동구 상암로3길 77 103동 104호(암사동, 삼성광나루)"
마포구,또바기어린이집,서울특별시 마포구 월드컵로5길 33-18 합정동
은평구,은하수어린이집,"서울특별시 은평구 진관2로 90 315동 102호(진관동, 은평뉴타운마고정아파트)"
중랑구,조은어린이집,"서울특별시 중랑구 숙선옹주로 91 ,405동 102호(묵동, 신내아파트)"
강북구,천사어린이집,서울특별시 강북구 솔매로41길 31-12 (미아동229-27)
양천구,포그니어린이집,서울특별시 양천구 화곡로3길 20-19 샤인팰리스101호 (신월동)
은평구,양지어린이집,서울특별시 은평구 갈현로3가길 32-5
양천구,그린샘왕호어린이집,서울특별시 양천구 월정로 69 (신월동)
도봉구,세인어린이집,서울특별시 도봉구 방학로3길 100 (쌍문동)
도봉구,행복한어린이집,서울특별시 도봉구 덕릉로59자길 15 (창동)
도봉구,아우지터어린이집,"서울특별시 도봉구 방학로11길 33 101동 101호(방학동, 효성아파트)"
도봉구,하늘어린이집,"서울특별시 도봉구 방학로 200 114동 110호(방학동, 신동아아파트)"
서대문구,해피키즈어린이집,"서울특별시 서대문구 문화촌길 6-24 101동 112호(홍제동, 문화촌현대아파트)"
영등포구,새봄어린이집,서울특별시 영등포구 도신로 142 (신길동)
용산구,남산어린이집,서울특별시 용산구 신흥로16길 17 (용산동2가)
서대문구,색종이어린이집,서울 서대문구 북아현동 220-24
동작구,미래어린이집,서울특별시 동작구 여의대방로22바길 54 동작디오빌 102호 (신대방동)
노원구,보영어린이집,"서울특별시 노원구 섬밭로 229 , 8동 103호(하계동, 건영아파트)"
노원구,사랑담아어린이집,"서울특별시 노원구 동일로213길 21 118동 106호(상계동, 상계주공1차)"
노원구,푸르니어린이집,"서울특별시 노원구 섬밭로 123 (공릉1동, 라이프아파트3단지 관리사무소 1층)"
노원구,작은별어린이집,"서울특별시 노원구 덕릉로60길 252 101동 106호(월계동, 유원아파트)"
강동구,아기사랑어린이집,서울특별시 강동구 고덕로20나길 14 (암사동 459-56호)
중랑구,행복한어린이집,"서울특별시 중랑구 겸재로3길 8 101호(면목동, 대경빌라)"
노원구,벧엘어린이집,"서울특별시 노원구 동일로207길 18 119동 102호(중계동, 중계그린1단지아파트)"
강동구,햇님어린이집,"서울특별시 강동구 고덕로 390 333동 104호(상일동, 고덕주공3차아파트)"
서초구,한신어린이집,"서울특별시 서초구 잠원로 37-48 205동 105호(잠원동, 신반포한신아파트)"
강서구,숲으로 가는 어린이집,"서울특별시 강서구 양천로69길 18 101동 111호(염창동, 극동아파트)"
종로구,엄마사랑어린이집,서울 종로구 이화동 9-1 송림아마레스 APT 103호
구로구,장미어린이집,서울특별시 구로구 경인로 343 삼환로즈빌아파트 단지 내 1층 장미 어린이집 (고척동)
마포구,신촌중앙방과후교실어린이집,서울특별시 마포구 고산길 52 (노고산동) 716-9472
성북구,뉴제나어린이집,서울특별시 성북구 삼선동5가 삼선교로18나길 18 (삼선동5가)
영등포구,꼬마대통령어린이집,서울특별시 영등포구 여의대방로47길 12 (신길동)
강서구,선어린이집,"서울특별시 강서구 강서로 348 120동 104호(내발산동, 우장산현대홈타운아파트)"
구로구,선애어린이집,서울특별시 구로구 구로동로12길 70 (구로동)
금천구,해누리어린이집,"서울특별시 금천구 금하로 816 506동 101호(시흥동, 벽산아파트)"
양천구,토마토어린이집,"서울특별시 양천구 목동서로 70 219동 104호(목동, 목동2단지아파트)"
양천구,참동화나라어린이집,서울특별시 양천구 목동중앙서로6길 21 (목동)
강동구,다솔어린이집,"서울특별시 강동구 양재대로101길 51-10 104동 101호(성내동, 우성A 104-101)"
강동구,아기코끼리어린이집,서울특별시 강동구 양재대로124길 49-7 (길2동 330-6)
송파구,사과나무어린이집,"서울특별시 송파구 거마로 41 302동 101호(거여동, 현대3차아파트)"
강서구,이삭 어린이집,"서울특별시 강서구 우장산로6길 52 1002동 101호(내발산동, 청솔샤르망아파트)"
영등포구,해오름 어린이집,서울특별시 영등포구 여의대방로31길 10 (신길동)
영등포구,큰나무어린이집,"서울특별시 영등포구 문래로20길 14 2동 103호(문래동3가, 한신아파트)"
노원구,한양자연어린이집,"서울특별시 노원구 공릉로 213 103동 104호(공릉동, 동신)"
노원구,행복한아이세상어린이집,"서울특별시 노원구 동일로227길 26 1609동 101호(상계동, 상계주공16차)"
중랑구,리틀피카소어린이집,서울특별시 중랑구 겸재로64길 23 (면목동)
구로구,꿈이있는어린이집,서울특별시 구로구 벚꽃로 484 화원사회종합복지관내 (구로동)
중랑구,건영어린이집,"서울특별시 중랑구 신내로7나길 24 206동 101호(상봉동, 건영2차아파트)"
서초구,예랑어린이집,서울특별시 서초구 청두곶길 46 1층 (방배동)
성북구,아이뜰 어린이집,"서울특별시 성북구 화랑로48길 16 109동 101호(석관동, 두산아파트)"
마포구,삼성푸른어린이집,"서울특별시 마포구 만리재로 74 204동 102호(신공덕동, 삼성래미안아파트)"
관악구,봄샘푸르지오어린이집,"서울특별시 관악구 남부순환로 1430 관리동 1층 (신림동, 대우푸르지오아파트)  [미성동]"
양천구,우리들어린이집,"서울특별시 양천구 신월로11길 36 ,101동 104호(신월동, 정은스카이빌아파트)"
