지역구,어린이집명,주소
금천구,구립독산롯데캐슬어린이집,서울특별시 금천구 벚꽃로 100 독산역 롯데캐슬아파트 단지내
마포구,근로복지공단 마포어린이집,서울특별시 마포구 연남로 49-1
영등포구,맘든든센터 공동육아방 6호점,서울특별시 영등포구 도신로4길 20 1층
송파구,위례아이숲어린이집,"서울특별시 송파구 위례송파로 123 (거여동, 위례포레샤인 17단지)"
광진구,구립 중곡하나어린이집,서울특별시 광진구 동일로76길 59
광진구,구립 자양도담어린이집,서울특별시 광진구 아차산로44가길 5 (자양동 231-51)
은평구,구립 꿈여울어린이집,서울특별시 은평구 통일로89길 5-6
강서구,근로복지공단 곰달래어린이집,서울특별시 강서구 곰달래로53길 30-20
구로구,원진어린이집,"서울특별시 구로구 고척로55길 21 (고척동, 원진어린이집)"
강서구,성민가정어린이집,서울특별시 강서구 화곡로68길 115 101동 111호
마포구,해들어린이집,서울특별시 마포구 숭문16다길 10-5 마포프레스티지자이 2단지 내 203동 옆
마포구,산들어린이집,서울특별시 마포구 대흥로24길 24 마포프레스티지자이 1단지 내 104동 앞
종로구,로카키즈어린이집,서울특별시 종로구 새문안로2길 10 1층
송파구,위례봄어린이집,서울특별시 송파구 위례광장로 121 2414동 101호
양천구,구립 아이샘어린이집,서울특별시 양천구 중앙로43길 14 래미안목동아델리체
서대문구,숲속별어린이집,서울특별시 서대문구 홍은중앙로3길 9 북한산두산위브아파트
양천구,구립 아이숲어린이집,서울특별시 양천구 중앙로43길 14 래미안목동아델리체
강남구,도토리소풍넥슨 대치어린이집,서울특별시 강남구 역삼로90길 25
강남구,쿠키즈(coukids) 어린이집,서울특별시 강남구 테헤란로 332 HJ타워 3층
영등포구,라온어린이집,서울특별시 영등포구 신길로 29
용산구,삼각지어린이집,"서울특별시 용산구 백범로99길 40 1,2층"
서대문구,늘푸른어린이집,서울특별시 서대문구 홍은중앙로1길 100
강서구,근로복지공단 등촌어린이집,서울특별시 강서구 강서로56나길 128
동작구,해오름어린이집,서울특별시 동작구 상도로 421 현대아파트 108-103
도봉구,봄날어린이집,서울특별시 도봉구 덕릉로53길 55
동대문구,태양하나어린이집,서울특별시 동대문구 황물로 32
도봉구,느티나무어린이집,서울특별시 도봉구 도당로13바길 19
양천구,구립 해든어린이집,서울특별시 양천구 목동남로4길 100
서초구,서초구립 허니비어린이집,"서울특별시 서초구 서초대로1길 30 105동 101호(방배동, 현대아파트)"
도봉구,온유한어린이집,서울특별시 도봉구 덕릉로60자길 22
양천구,구립 목3동공원어린이집,서울특별시 양천구 목동중앙남로16나길 46
구로구,현대열린어린이집,서울특별시 구로구 개봉로20길 6 현대아파트 1단지내(개봉역입구쪽)
마포구,해솔어린이집,서울특별시 마포구 서강로 75-16 창전동 청년주택 1층
도봉구,도봉숲어린이집,서울특별시 도봉구 마들로 684-10
동작구,구립아름어린이집,서울특별시 동작구 양녕로 220 상도역롯데캐슬아파트 관리동
중랑구,신나라어린이집,서울특별시 중랑구 봉우재로2길 22 (면목동)
금천구,구립지혜어린이집,서울특별시 금천구 시흥대로76길 19 골드빌 101호
동작구,구립트윈파크어린이집,서울특별시 동작구 노량진로23가길 23 래미안트윈파크아파트 관리동
서초구,서초구립 한신서래어린이집,서울특별시 서초구 사평대로28길 31 101동 108호
