사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2022030100100293,2022년 3월 1일 19시,화요일,경기도 용인시 수지구 죽전동,경상사고,0,0,6,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,60세,경상,37.32545718811849,127.1036823233496
2022030600100138,2022년 3월 6일 14시,일요일,경기도 용인시 기흥구 보라동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,61세,상해없음,37.25539258059472,127.10388050932193
2022030700100014,2022년 3월 7일 04시,월요일,경기도 용인시 수지구 풍덕천동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,25세,상해없음,화물,남,53세,경상,37.32416637275411,127.1031360393338
2022032000100060,2022년 3월 20일 11시,일요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세,상해없음,승합,남,43세,경상,37.264712150479696,127.10361741673262
2022032500100042,2022년 3월 25일 07시,금요일,경기도 용인시 수지구 죽전동,경상사고,0,0,2,1,차대차 - 기타,차로위반,건조,맑음,기타 - 기타,승합,남,62세,경상,승용,남,24세,경상,37.33346950727415,127.10338060172352
2022032500100493,2022년 3월 25일 21시,금요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,화물,남,56세,상해없음,승용,남,55세,경상,37.22250048940321,127.1012008173006
2022040100100151,2022년 4월 1일 11시,금요일,경기도 용인시 처인구 남사읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,화물,남,39세,경상,37.11318067183911,127.11309798408936
2022040400100094,2022년 4월 4일 08시,월요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,56세,상해없음,보행자,여,32세,경상,37.28969768214694,127.10059822727403
2022040400100483,2022년 4월 4일 20시,월요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,59세,경상,37.26946888556962,127.10015243924904
2022041100100201,2022년 4월 11일 11시,월요일,경기도 용인시 기흥구 공세동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,23세,중상,37.237821915444094,127.10586652010228
2022041100100265,2022년 4월 11일 13시,월요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,2,2,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,39세,경상,37.26588579463514,127.10416390178726
2022041200100305,2022년 4월 12일 15시,화요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,여,39세,경상,37.2308659520218,127.10672566416578
2022041500100613,2022년 4월 15일 22시,금요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,43세,경상,37.26722779569214,127.1038410792964
2022042100100125,2022년 4월 21일 09시,목요일,경기도 용인시 기흥구 보라동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,여,57세,중상,37.253445594188975,127.10389070319472
