field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,_GC_TYPE,_CLEANADDR,_X,_Y
2022010900100338,2022년 1월 9일 23시,일요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,39세,상해없음,승용,남,60세,상해없음,대,경기도 용인시 기흥구 고매동,127.1143265,37.22557979
2022011400100518,2022년 1월 14일 19시,금요일,경기도 성남시 분당구 삼평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,38세,경상,대,경기도 성남시 분당구 삼평동,127.108895,37.40201103
2022011800100376,2022년 1월 18일 16시,화요일,경기도 안성시 원곡면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,51세,상해없음,승용,여,46세,경상,대,경기도 안성시 원곡면,127.146979,37.04738111
2022011600100196,2022년 1월 16일 15시,일요일,충청북도 옥천군 동이면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,40세,중상,대,충청북도 옥천군 동이면,127.6317847,36.30653456
2022011600100053,2022년 1월 16일 09시,일요일,충청북도 옥천군 옥천읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,53세,경상,대,충청북도 옥천군 옥천읍,127.5774936,36.30402926
2022011500100079,2022년 1월 15일 09시,토요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,8,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,45세,경상,대,경기도 용인시 기흥구 신갈동,127.0993414,37.28104801
2022011800100565,2022년 1월 18일 20시,화요일,서울특별시 서초구 서초동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,61세,중상,대,서울특별시 서초구 서초동,127.0162998,37.48845867
2022011600100242,2022년 1월 16일 17시,일요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,28세,경상,대,충청북도 청주시 흥덕구 옥산면,127.3594268,36.68092518
2022011900100277,2022년 1월 19일 15시,수요일,충청남도 천안시 동남구 목천읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,경상,화물,남,66세,상해없음,대,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014
2022011400100327,2022년 1월 14일 15시,금요일,경기도 용인시 기흥구 보정동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,61세,상해없음,승용,남,41세,경상,대,경기도 용인시 기흥구 보정동,127.1091532,37.30789996
2022012000100067,2022년 1월 20일 08시,목요일,경기도 안성시 원곡면,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,30세,경상,대,경기도 안성시 원곡면,127.146979,37.04738111
2022011800100455,2022년 1월 18일 18시,화요일,경기도 성남시 분당구 궁내동,부상신고사고,0,0,0,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,71세,상해없음,대,경기도 성남시 분당구 궁내동,127.091827,37.37017734
2022012000100151,2022년 1월 20일 11시,목요일,경기도 용인시 기흥구 공세동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,47세,상해없음,승용,남,34세,경상,대,경기도 용인시 기흥구 공세동,127.1122478,37.23813673
2022012100100519,2022년 1월 21일 18시,금요일,서울특별시 서초구 원지동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,승용,남,30세,경상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022012100100256,2022년 1월 21일 12시,금요일,경기도 용인시 기흥구 보정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,32세,경상,대,경기도 용인시 기흥구 보정동,127.1091532,37.30789996
2022012000100348,2022년 1월 20일 17시,목요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,1,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,42세,부상신고,화물,남,42세,경상,대,경기도 용인시 기흥구 신갈동,127.0993414,37.28104801
2022011900100003,2022년 1월 19일 00시,수요일,경기도 성남시 분당구 궁내동,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,45세,경상,대,경기도 성남시 분당구 궁내동,127.091827,37.37017734
2022011700100498,2022년 1월 17일 22시,월요일,울산광역시 울주군 두서면,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,60세,중상,건설기계,남,54세,상해없음,대,울산광역시 울주군 두서면,129.1443366,35.66686434
2022012200100269,2022년 1월 22일 15시,토요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,47세,상해없음,대,경기도 성남시 수정구 금토동,127.0699918,37.41062545
2022012000100014,2022년 1월 20일 03시,목요일,충청북도 청주시 흥덕구 옥산면,중상사고,0,1,0,0,차대차 - 후진중충돌,기타,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,화물,남,51세,중상,대,충청북도 청주시 흥덕구 옥산면,127.3594268,36.68092518
2022012100100429,2022년 1월 21일 16시,금요일,대구광역시 북구 금호동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,여,59세,경상,대,대구광역시 북구 금호동,128.525744,35.90473513
2022012300100375,2022년 1월 23일 21시,일요일,경기도 화성시 방교동,경상사고,0,0,4,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,46세,상해없음,승용,남,36세,경상,대,경기도 화성시 방교동,127.088547,37.17264139
2022012500100102,2022년 1월 25일 09시,화요일,서울특별시 서초구 양재동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승합,남,60세,상해없음,승용,남,36세,경상,대,서울특별시 서초구 양재동,127.0385688,37.46880589
2022012400100471,2022년 1월 24일 19시,월요일,경상북도 구미시 임은동,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,46세,사망,특수,남,49세,경상,대,경상북도 구미시 임은동,128.3647088,36.08705759
2022012300100149,2022년 1월 23일 14시,일요일,경기도 용인시 기흥구 공세동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,여,51세,경상,대,경기도 용인시 기흥구 공세동,127.1122478,37.23813673
2022012600100067,2022년 1월 26일 07시,수요일,충청남도 천안시 서북구 입장면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,45세,경상,대,충청남도 천안시 서북구 입장면,127.2256147,36.9142991
2022012100100065,2022년 1월 21일 07시,금요일,경기도 오산시 부산동,경상사고,0,0,4,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,경상,승용,남,39세,경상,대,경기도 오산시 부산동,127.0877482,37.1534478
2022012600100308,2022년 1월 26일 15시,수요일,서울특별시 서초구 원지동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,55세,상해없음,승용,남,41세,경상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022012100100575,2022년 1월 21일 19시,금요일,경기도 화성시 방교동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,여,28세,경상,대,경기도 화성시 방교동,127.088547,37.17264139
2.02201E+15,2022년 1월 25일 22시,화요일,경기도 용인시 기흥구 상갈동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,50세,상해없음,승용,남,42세,상해없음,대,경기도 용인시 기흥구 상갈동,127.1130955,37.26541252
2022013100100089,2022년 1월 31일 12시,월요일,충청남도 천안시 서북구 성거읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,기타불명,승용,남,35세,중상,대,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576
2022012300100028,2022년 1월 23일 06시,일요일,경기도 용인시 기흥구 공세동,중상사고,0,1,1,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,경상,,,,,대,경기도 용인시 기흥구 공세동,127.1122478,37.23813673
2022013000100005,2022년 1월 30일 00시,일요일,경기도 성남시 분당구 구미동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,45세,상해없음,승용,남,59세,경상,대,경기도 성남시 분당구 구미동,127.1201128,37.34355184
2022012700100329,2022년 1월 27일 16시,목요일,경기도 성남시 수정구 상적동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,56세,경상,대,경기도 성남시 수정구 상적동,127.0644279,37.42771302
2022020100100063,2022년 2월 1일 11시,화요일,충청남도 천안시 동남구 목천읍,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,젖음/습기,맑음,단일로 - 기타,화물,남,65세,상해없음,승용,여,62세,경상,대,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014
2022012900100113,2022년 1월 29일 11시,토요일,경기도 오산시 부산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,56세,경상,대,경기도 오산시 부산동,127.0877482,37.1534478
2022012600100273,2022년 1월 26일 14시,수요일,서울특별시 서초구 원지동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,여,47세,중상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022020100100017,2022년 2월 1일 07시,화요일,경기도 평택시 월곡동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,적설,눈,단일로 - 기타,승용,남,54세,상해없음,특수,남,37세,경상,대,경기도 평택시 월곡동,127.139852,37.02228982
2022020400100132,2022년 2월 4일 11시,금요일,경상남도 양산시 하북면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,27세,경상,대,경상남도 양산시 하북면,129.0936549,35.45664037
2022012500100073,2022년 1월 25일 08시,화요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,46세,경상,대,경기도 용인시 기흥구 신갈동,127.0993414,37.28104801
2022012600100423,2022년 1월 26일 18시,수요일,서울특별시 서초구 양재동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,70세,상해없음,승용,남,41세,중상,대,서울특별시 서초구 양재동,127.0385688,37.46880589
2022020200100145,2022년 2월 2일 15시,수요일,충청북도 청주시 흥덕구 석소동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,52세,경상,대,충청북도 청주시 흥덕구 석소동,127.3815476,36.62167417
2022020500100381,2022년 2월 5일 22시,토요일,대구광역시 북구 서변동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,49세,경상,승용,남,51세,상해없음,대,대구광역시 북구 서변동,128.5922482,35.92557002
2022020200100268,2022년 2월 2일 20시,수요일,경상북도 구미시 원평동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,73세,상해없음,승용,남,53세,부상신고,대,경상북도 구미시 원평동,128.3361462,36.12735036
2022020300100027,2022년 2월 3일 07시,목요일,서울특별시 서초구 원지동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승합,남,61세,상해없음,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022020300100259,2022년 2월 3일 15시,목요일,경기도 오산시 부산동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,45세,경상,대,경기도 오산시 부산동,127.0877482,37.1534478
2022013000100171,2022년 1월 30일 15시,일요일,부산광역시 금정구 선동,중상사고,0,1,6,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,55세,상해없음,승용,남,29세,경상,대,부산광역시 금정구 선동,129.1140673,35.2723503
2022020100100098,2022년 2월 1일 13시,화요일,충청남도 천안시 서북구 성거읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승합,남,47세,상해없음,승용,남,22세,경상,대,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576
2022021100100216,2022년 2월 11일 13시,금요일,경상북도 경주시 건천읍,중상사고,0,3,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,24세,상해없음,승용,남,78세,경상,대,경상북도 경주시 건천읍,129.0879358,35.83788534
2022020200100147,2022년 2월 2일 15시,수요일,충청남도 천안시 서북구 입장면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,68세,경상,대,충청남도 천안시 서북구 입장면,127.2256147,36.9142991
2.02202E+15,2022년 2월 7일 14시,월요일,충청남도 천안시 동남구 신부동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,29세,경상,대,충청남도 천안시 동남구 신부동,127.1643944,36.82567846
2022020400100251,2022년 2월 4일 15시,금요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,30세,경상,대,충청북도 청주시 흥덕구 옥산면,127.3594268,36.68092518
2022021100100064,2022년 2월 11일 08시,금요일,서울특별시 서초구 원지동,경상사고,0,0,1,1,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,24세,경상,대,서울특별시 서초구 원지동,127.0479721,37.44499174
2022021000100039,2022년 2월 10일 07시,목요일,경기도 안성시 공도읍,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,남,38세,부상신고,대,경기도 안성시 공도읍,127.1832118,37.00071006
2022020800100266,2022년 2월 8일 15시,화요일,경기도 용인시 기흥구 고매동,중상사고,0,1,2,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,맑음,기타 - 기타,화물,남,58세,상해없음,승용,남,58세,경상,대,경기도 용인시 기흥구 고매동,127.1143265,37.22557979
2022021500100446,2022년 2월 15일 22시,화요일,경상북도 김천시 아포읍,중상사고,0,2,1,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,41세,중상,특수,남,46세,경상,대,경상북도 김천시 아포읍,128.2349373,36.1497397
2022020900100451,2022년 2월 9일 20시,수요일,경기도 성남시 분당구 백현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,24세,상해없음,승용,여,48세,경상,대,경기도 성남시 분당구 백현동,127.1088691,37.38513292
2022021100100451,2022년 2월 11일 20시,금요일,경기도 용인시 기흥구 공세동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,45세,경상,대,경기도 용인시 기흥구 공세동,127.1122478,37.23813673
2022020400100004,2022년 2월 4일 00시,금요일,경기도 성남시 분당구 궁내동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,44세,경상,대,경기도 성남시 분당구 궁내동,127.091827,37.37017734
2022021100100114,2022년 2월 11일 10시,금요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,경상,화물,남,48세,상해없음,대,경상남도 양산시 물금읍,128.995302,35.31424673
2022020800100084,2022년 2월 8일 08시,화요일,충청북도 청주시 흥덕구 옥산면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,여,22세,경상,대,충청북도 청주시 흥덕구 옥산면,127.3594268,36.68092518
2022021500100139,2022년 2월 15일 12시,화요일,경기도 용인시 기흥구 신갈동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,화물,남,45세,경상,대,경기도 용인시 기흥구 신갈동,127.0993414,37.28104801
2022020600100152,2022년 2월 6일 16시,일요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,여,35세,경상,대,경기도 용인시 기흥구 고매동,127.1143265,37.22557979
