영업상태코드,지역구
1,서울특별시 금천구 가산동 141-8 지상2층 (구로동길 265)
1,서울특별시 강동구 길동 459-2
3,서울특별시 종로구 연지동 246-0번지 
1,서울특별시 관악구 신림동 1639-1 신림빌딩
1,서울특별시 중구 초동 70-4 (지상3층)
1,서울특별시 용산구 남영동 61-6 (지상2층)
3,서울특별시 종로구 종로5가 231-15
3,서울특별시 동대문구 장안동 371-10 지하1층
1,서울특별시 양천구 목동 602-1 지하 1층
1,서울특별시 강서구 화곡동 1006-3 (지하 1층)
1,서울특별시 관악구 신림동 529-7
3,서울특별시 종로구 내수동 167-0번지 (지하1) 
3,서울특별시 종로구 효제동 318-1번지 
3,서울특별시 중구 북창동 63-0번지 
3,서울특별시 중구 중림동 10-1번지 
3,서울특별시 중랑구 묵동 164-7번지 
1,서울특별시 중구 충무로2가 50-3 1~2층
1,서울특별시 강남구 신사동 502-11 영일빌딩
1,서울특별시 강북구 수유동 229-2 덕인빌딩 
1,서울특별시 강서구 화곡동 1105-5 (지하 1층)
1,서울특별시 송파구 방이동 34-9 B1호
1,서울특별시 강서구 화곡동 901-15 시온빌딩 지하1층
1,서울특별시 강서구 화곡동 901-15 시온빌딩 501호
1,서울특별시 관악구 신림동 1431-18
1,서울특별시 용산구 한남동 737-25 지하1층
1,서울특별시 강남구 논현동 248-7 지하1층
1,서울특별시 관악구 신림동 1640-29 제일빌딩
1,서울특별시 관악구 신림동 1640-29 제일빌딩
3,서울특별시 중구 북창동 17-1번지 
1,서울특별시 종로구 종로5가 94번지 지상1층 
1,서울특별시 서초구 서초동 1588-1 지하1층
1,서울특별시 종로구 종로5가 231-25 지상2층
1,서울특별시 노원구 상계동 730-5번지 지하2호
1,서울특별시 강동구 길동 459-4
1,서울특별시 관악구 신림동 1639-19 지하1층
1,서울특별시 종로구 종로5가 55번지 
1,서울특별시 은평구 응암동 599-37번지 지1층 
1,서울특별시 종로구 내수동 75번지 용비어천가 지하102호 
1,"서울특별시 영등포구 여의도동 11-11 한서리버파크 지상1층 104호중일부,105호"
1,서울특별시 강서구 화곡동 346-1 (지하 1층)
1,서울특별시 서대문구 남가좌동 102-19
3,서울특별시 중구 북창동 63-0
3,서울특별시 중구 명동1가 6-0번지 
3,서울특별시 마포구 노고산동 106-6번지 
1,서울특별시 마포구 공덕동 256-13
3,서울특별시 마포구 노고산동 57-18번지 
1,서울특별시 관악구 신림동 1424-11 3층
1,서울특별시 마포구 노고산동 57-46 신촌아이스페이스오피스텔
1,서울특별시 강서구 화곡동 1105-12 스카이관광호텔 (지하 1층)
1,서울특별시 중구 오장동 148-18
1,서울특별시 마포구 서교동 351-27 
1,"서울특별시 영등포구 영등포동3가 17-5 ,2층"
1,서울특별시 관악구 신림동 1432-73 지상4층
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 8층) 802호
3,서울특별시 강동구 길동 446-2
1,서울특별시 강서구 마곡동 795-6 뉴골든타워
1,서울특별시 송파구 가락동 99-2 가락훼미리오피스텔2차 지하2층
1,서울특별시 강서구 마곡동 795-6 뉴골든타워
1,서울특별시 금천구 시흥동 999-42 지하1층
1,서울특별시 도봉구 창동 3-4
1,서울특별시 강북구 수유동 229-37
3,서울특별시 중구 북창동 134-1번지 (지하1층) 
1,서울특별시 동작구 사당동 147-102
1,"서울특별시 강남구 삼성동 142-29 지상 4,5,6층"
1,서울특별시 광진구 구의동 252-44
1,서울특별시 양천구 목동 651-9 지하 1층
1,서울특별시 강남구 삼성동 142-29 7~8층
1,서울특별시 금천구 가산동 141-8 지하1층
1,서울특별시 관악구 신림동 1422-17
1,서울특별시 양천구 신정동 1030-1 지하 1층
1,서울특별시 금천구 시흥동 889-7 지상 2층
3,서울특별시 구로구 오류동 54-7번지 
1,서울특별시 관악구 신림동 1431-2
3,서울특별시 구로구 개봉동 70-16번지 
