영업상태코드,주소
1,서울특별시 양천구 목동 791-7 지하 1층
1,서울특별시 강북구 번동 443-98 청도빌딩
1,서울특별시 강북구 미아동 775-3번지 
1,서울특별시 도봉구 방학동 692-23 지하1층
1,서울특별시 노원구 상계동 101-5번지 
1,서울특별시 종로구 낙원동 92번지 (지하1층) 
1,서울특별시 은평구 녹번동 155-30번지 
1,서울특별시 은평구 대조동 186-39번지 
1,서울특별시 은평구 녹번동 79-26 지층
1,서울특별시 은평구 녹번동 131-77 (지층)
1,서울특별시 종로구 낙원동 99-1
1,서울특별시 은평구 응암동 109-1번지 지층 
1,서울특별시 관악구 신림동 1640-28
1,서울특별시 강북구 수유동 182-34 지하1층
1,서울특별시 양천구 신월동 145-2 지하 1층
1,서울특별시 종로구 익선동 93번지 
1,서울특별시 광진구 중곡동 193-52
1,서울특별시 마포구 서교동 403-16번지 
1,서울특별시 양천구 신정동 1031-3 지하 1층
1,서울특별시 양천구 신정동 972-1 3층
1,서울특별시 양천구 목동 905-22 목동트윈빌 지하 1층 110호
1,서울특별시 은평구 응암동 592-72 B1층
1,서울특별시 관악구 신림동 681-8
1,서울특별시 양천구 신정동 1182-2 지하 1층 103~105호
1,서울특별시 종로구 숭인동 1416번지 지하1층 
1,서울특별시 종로구 관철동 19-7번지 지하1층 
1,서울특별시 종로구 낙원동 243-1번지 지상2층 
1,서울특별시 종로구 종로1가 24번지 
1,서울특별시 종로구 낙원동 141번지 지하1층 
1,서울특별시 종로구 종로4가 9-1번지 지하1층 
1,서울특별시 양천구 신월동 81-3 신협빌딩 지하 1층
1,서울특별시 구로구 오류동 81-9
1,서울특별시 양천구 신정동 973-32 지하 1층
1,서울특별시 양천구 목동 613-9 지하 1층
1,서울특별시 관악구 신림동 1669-13
1,서울특별시 양천구 신월동 444-11 지하 1층
1,서울특별시 양천구 신정동 887-8 지하 1층
1,서울특별시 도봉구 도봉동 560-19
1,서울특별시 마포구 합정동 387-23 
1,서울특별시 강남구 논현동 165-10
1,서울특별시 강북구 번동 463-43
1,서울특별시 양천구 신정동 89-77 지하 1층
1,서울특별시 양천구 신정동 972-1 2층
1,서울특별시 은평구 대조동 220-33 지하1층
1,서울특별시 양천구 신정동 1031-8 지하 1층
1,서울특별시 양천구 신정동 1183-7 지하 1층
1,서울특별시 양천구 신정동 1190-2 지하 1층
1,서울특별시 영등포구 영등포동5가 46-2
1,서울특별시 강북구 수유동 178-18
1,서울특별시 서대문구 북가좌동 293-7
1,서울특별시 은평구 응암동 599-19 2층
1,서울특별시 관악구 신림동 1655-43
1,서울특별시 종로구 창신동 174-1 
1,서울특별시 종로구 관철동 43-5번지 
1,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩
1,서울특별시 서초구 서초동 1330-20
1,서울특별시 은평구 대조동 219-28 (지층)
1,서울특별시 광진구 구의동 246-24
1,서울특별시 강서구 화곡동 905-10 지하1층
1,서울특별시 구로구 가리봉동 123-38
1,서울특별시 광진구 중곡동 80-11
1,서울특별시 중랑구 망우동 563-15 2층
1,서울특별시 강동구 천호동 237-3
1,서울특별시 강북구 수유동 191-38 지하1층
1,서울특별시 용산구 원효로2가 91-20 (지하1층)
1,서울특별시 강북구 미아동 160-1
1,서울특별시 강북구 수유동 189-6 (4.19길 33)
1,서울특별시 강북구 수유동 229-33
1,서울특별시 강남구 역삼동 826-36 신소애빌딩 지하1층
1,서울특별시 구로구 오류동 55-50 지하층 
1,서울특별시 양천구 신정동 1030-6 2층
1,서울특별시 관악구 신림동 538-11
1,서울특별시 구로구 구로동 413-68번지 지층 
1,서울특별시 양천구 신정동 902-12 지하 1층
1,서울특별시 강북구 번동 448-11 (화계사길 78)(지하1층)
1,서울특별시 중랑구 상봉동 106-5
1,서울특별시 강북구 수유동 1-61
1,서울특별시 강북구 미아동 207-3
1,서울특별시 강북구 미아동 42-117 (월계로 17)
1,서울특별시 구로구 신도림동 426-26
1,서울특별시 동대문구 장안동 463-4
1,서울특별시 서초구 서초동 1572-9
1,서울특별시 금천구 독산동 988-13
1,서울특별시 구로구 구로동 403-4
1,서울특별시 서대문구 연희동 188-88 지하1층
1,서울특별시 금천구 독산동 960-14 지하1층
1,서울특별시 강서구 화곡동 1104-0 (지하 1층)
1,서울특별시 강남구 역삼동 828-23
1,서울특별시 동대문구 신설동 97-22 (신설길 15)
1,서울특별시 중랑구 상봉동 130-17
1,서울특별시 종로구 묘동 177-1 지하1층
1,서울특별시 강서구 화곡동 938-18 (지상 2층)
1,서울특별시 광진구 광장동 186
1,서울특별시 중랑구 묵동 237-127
1,서울특별시 송파구 가락동 18-7
1,서울특별시 노원구 공릉동 424-3
1,서울특별시 강동구 명일동 325-20
1,서울특별시 영등포구 영등포동3가 16
1,서울특별시 중랑구 망우동 491-50
1,서울특별시 영등포구 영등포동4가 75-3 
1,서울특별시 도봉구 창동 661-2
1,"서울특별시 영등포구 여의도동 35-5번지 여의도종합상가(219,220호) "
1,서울특별시 영등포구 대림동 710-9
1,서울특별시 중랑구 망우동 486-5
1,서울특별시 중구 명동1가 34-1
1,서울특별시 은평구 응암동 103-35 (지1층)
1,서울특별시 강서구 화곡동 1099-5 (지하 1층)
1,서울특별시 강남구 역삼동 637-35
1,서울특별시 강북구 번동 461-91
1,서울특별시 은평구 갈현동 395-13 지층
1,서울특별시 강남구 청담동 132-3
1,서울특별시 동대문구 장안동 543 (한천로 142)
1,서울특별시 종로구 익선동 158-3
1,서울특별시 강남구 역삼동 736-40
1,서울특별시 영등포구 대림동 751-5번지 지하1층 
1,서울특별시 영등포구 신길동 215-5
1,서울특별시 영등포구 당산동2가 30-15 지하1층
1,서울특별시 금천구 독산동 959-9 지하1층
1,서울특별시 마포구 서교동 354-19
1,서울특별시 용산구 원효로2가 91-1 지하1층
1,서울특별시 강북구 수유동 229-53 지하1층
1,서울특별시 마포구 서교동 352-16 지층
1,서울특별시 강서구 등촌동 647-41 (지하 1층)
1,서울특별시 양천구 신정동 1190-6 지하 1층
1,서울특별시 영등포구 당산동3가 132-0 지하1층
1,서울특별시 송파구 방이동 43-6 파크캐슬오피스텔
1,서울특별시 영등포구 영등포동5가 19-0
1,서울특별시 동작구 사당동 1044-28 (지하1층)
1,서울특별시 종로구 돈의동 34
1,서울특별시 관악구 신림동 403-23
1,서울특별시 관악구 봉천동 858-1
1,서울특별시 관악구 신림동 564-41
1,서울특별시 관악구 신림동 1640-30 
1,서울특별시 관악구 신림동 1655-16
1,서울특별시 서초구 서초동 1327-11
1,서울특별시 서초구 양재동 272-4
1,서울특별시 서초구 잠원동 39-1
1,서울특별시 서초구 서초동 1337-9 지하1층
1,서울특별시 서초구 양재동 273-3
1,서울특별시 서초구 방배동 761-7번지 
1,서울특별시 서초구 양재동 268-2번지 
1,서울특별시 서초구 서초동 1443-6번지 지하1층 
1,서울특별시 서초구 서초동 1589-5
1,서울특별시 은평구 응암동 598-5 (지1층)
1,서울특별시 관악구 봉천동 945-1 지하1층
1,서울특별시 강서구 화곡동 997-1 (지하 1층)
1,서울특별시 강남구 역삼동 705-15
1,서울특별시 강남구 논현동 63-22
1,서울특별시 송파구 방이동 71-13 지하1층
1,서울특별시 송파구 삼전동 102-9
1,서울특별시 송파구 방이동 224-11 지하1층
1,서울특별시 송파구 거여동 26-3 지하1층
1,서울특별시 송파구 방이동 98-7 지하1층
1,서울특별시 송파구 방이동 159-16번지 지하1층 
1,서울특별시 종로구 낙원동 150-1번지 
1,서울특별시 종로구 구기동 85-9
1,서울특별시 강동구 명일동 324-1
1,서울특별시 종로구 숭인동 318-9 지하1층 
1,서울특별시 강동구 성내동 447-9
1,서울특별시 종로구 공평동 60번지 
