영업상태코드,주소
1,서울특별시 종로구 종로5가 55번지 
1,서울특별시 은평구 응암동 599-37번지 지1층 
1,서울특별시 종로구 내수동 75번지 용비어천가 지하102호 
1,"서울특별시 영등포구 여의도동 11-11 한서리버파크 지상1층 104호중일부,105호"
1,서울특별시 강서구 화곡동 346-1 (지하 1층)
1,서울특별시 서대문구 남가좌동 102-19
1,서울특별시 마포구 공덕동 256-13
1,서울특별시 관악구 신림동 1424-11 3층
1,서울특별시 마포구 노고산동 57-46 신촌아이스페이스오피스텔
1,서울특별시 강서구 화곡동 1105-12 스카이관광호텔 (지하 1층)
1,서울특별시 중구 오장동 148-18
1,서울특별시 마포구 서교동 351-27 
1,"서울특별시 영등포구 영등포동3가 17-5 ,2층"
1,서울특별시 관악구 신림동 1432-73 지상4층
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 8층) 802호
1,서울특별시 강서구 마곡동 795-6 뉴골든타워
1,서울특별시 송파구 가락동 99-2 가락훼미리오피스텔2차 지하2층
1,서울특별시 강서구 마곡동 795-6 뉴골든타워
1,서울특별시 금천구 시흥동 999-42 지하1층
1,서울특별시 도봉구 창동 3-4
1,서울특별시 강북구 수유동 229-37
1,서울특별시 동작구 사당동 147-102
1,"서울특별시 강남구 삼성동 142-29 지상 4,5,6층"
1,서울특별시 광진구 구의동 252-44
1,서울특별시 양천구 목동 651-9 지하 1층
1,서울특별시 강남구 삼성동 142-29 7~8층
1,서울특별시 금천구 가산동 141-8 지하1층
1,서울특별시 관악구 신림동 1422-17
1,서울특별시 양천구 신정동 1030-1 지하 1층
1,서울특별시 금천구 시흥동 889-7 지상 2층
1,서울특별시 관악구 신림동 1431-2
1,서울특별시 금천구 독산동 1031-25
1,서울특별시 도봉구 창동 13
1,서울특별시 금천구 시흥동 883-18번지 지하1층 
1,서울특별시 은평구 응암동 590-2
1,서울특별시 영등포구 영등포동3가 15-3
1,서울특별시 강북구 수유동 191-66
1,서울특별시 금천구 시흥동 121-9번지 지하1층 
1,서울특별시 금천구 가산동 140-29 지하1층
1,서울특별시 금천구 시흥동 889-19 지하1층 (시흥대로 479)
1,서울특별시 강남구 삼성동 143 지하1층
1,서울특별시 금천구 가산동 140-8 지하1층
1,"서울특별시 금천구 시흥동 999-48 ,49 지하1층"
1,서울특별시 동작구 노량진동 28-7
1,서울특별시 마포구 서교동 354-6
1,서울특별시 금천구 가산동 141-8 지상1층
1,서울특별시 종로구 관철동 44-3
1,서울특별시 금천구 시흥동 889-4
1,서울특별시 관악구 신림동 1423-19
1,서울특별시 금천구 독산동 162-20
1,서울특별시 강남구 삼성동 37-15
1,서울특별시 종로구 낙원동 121-1번지 지하1층 
1,서울특별시 종로구 종로5가 58번지 
1,서울특별시 종로구 효제동 227 
1,서울특별시 금천구 독산동 950-7 지하1층   (독산동길 3)
1,서울특별시 종로구 숭인동 313-7번지 
1,서울특별시 금천구 시흥동 995-13 지하1층 (건영길 6)
1,서울특별시 영등포구 영등포동3가 22-1 2층
1,서울특별시 영등포구 여의도동 44-12 고려빌딩
1,서울특별시 마포구 서교동 354-12
1,서울특별시 강북구 수유동 45-1 평익타워
1,서울특별시 구로구 오류동 6-306
1,서울특별시 관악구 신림동 1655-23
1,서울특별시 영등포구 여의도동 46-1 지하1층
1,서울특별시 영등포구 영등포동3가 13-7 지하1층
1,서울특별시 강동구 길동 387-7 지하1층
1,서울특별시 중구 북창동 122
1,서울특별시 성동구 도선동 29-0  동  호
1,서울특별시 강남구 역삼동 735-31
1,서울특별시 중구 남대문로5가 63-7
1,서울특별시 관악구 신림동 1640-38
1,서울특별시 강남구 삼성동 45-10 지상1~2층
1,서울특별시 송파구 방이동 24-8 지하1층
1,서울특별시 관악구 신림동 1640-31
1,서울특별시 영등포구 여의도동 44-24
1,서울특별시 관악구 봉천동 1674-20
1,서울특별시 관악구 신림동 530-4 지상1층
1,서울특별시 강북구 수유동 191-67
1,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 6층) 601-1호
1,서울특별시 관악구 남현동 1061-25 지하1층
1,서울특별시 동작구 사당동 147-101
1,서울특별시 중구 오장동 206-37
1,서울특별시 중구 을지로6가 23
1,서울특별시 관악구 신림동 538-35
1,서울특별시 종로구 종로4가 145 안성빌딩 지하1층
1,서울특별시 관악구 남현동 1061-25
