영업상태코드,지역구
1,서울특별시 구로구 오류동 55-50 지하층 
3,서울특별시 용산구 한남동 627 지상3층
3,서울특별시 영등포구 여의도동 43 미원빌딩3층 307호
1,서울특별시 양천구 신정동 1030-6 2층
3,서울특별시 중구 남대문로5가 214 (지하1층)
1,서울특별시 관악구 신림동 538-11
3,서울특별시 마포구 공덕동 256-30
1,서울특별시 구로구 구로동 413-68번지 지층 
3,서울특별시 영등포구 영등포동3가 23-11
3,"서울특별시 중구 북창동 104-2 지상1, 2층"
1,서울특별시 양천구 신정동 902-12 지하 1층
3,서울특별시 중구 서소문동 48-2 지하1층
3,서울특별시 구로구 구로동 1125-2번지 
3,서울특별시 금천구 시흥동 995-4번지 
3,서울특별시 금천구 독산동 991-15번지 
3,서울특별시 영등포구 영등포동3가 7-25번지 
3,서울특별시 금천구 가산동 141-9 지하1층 
1,서울특별시 강북구 번동 448-11 (화계사길 78)(지하1층)
1,서울특별시 중랑구 상봉동 106-5
1,서울특별시 강북구 수유동 1-61
1,서울특별시 강북구 미아동 207-3
1,서울특별시 강북구 미아동 42-117 (월계로 17)
1,서울특별시 구로구 신도림동 426-26
1,서울특별시 동대문구 장안동 463-4
1,서울특별시 서초구 서초동 1572-9
1,서울특별시 금천구 독산동 988-13
1,서울특별시 구로구 구로동 403-4
1,서울특별시 서대문구 연희동 188-88 지하1층
1,서울특별시 금천구 독산동 960-14 지하1층
1,서울특별시 강서구 화곡동 1104-0 (지하 1층)
1,서울특별시 강남구 역삼동 828-23
1,서울특별시 동대문구 신설동 97-22 (신설길 15)
1,서울특별시 중랑구 상봉동 130-17
1,서울특별시 종로구 묘동 177-1 지하1층
1,서울특별시 강서구 화곡동 938-18 (지상 2층)
3,서울특별시 성동구 행당동 133-5
1,서울특별시 광진구 광장동 186
1,서울특별시 중랑구 묵동 237-127
1,서울특별시 송파구 가락동 18-7
1,서울특별시 노원구 공릉동 424-3
1,서울특별시 강동구 명일동 325-20
1,서울특별시 영등포구 영등포동3가 16
1,서울특별시 중랑구 망우동 491-50
1,서울특별시 영등포구 영등포동4가 75-3 
1,서울특별시 도봉구 창동 661-2
3,서울특별시 영등포구 여의도동 44-23 하남지하16호
1,"서울특별시 영등포구 여의도동 35-5번지 여의도종합상가(219,220호) "
1,서울특별시 영등포구 대림동 710-9
3,서울특별시 강동구 성내동 439-12
1,서울특별시 중랑구 망우동 486-5
1,서울특별시 중구 명동1가 34-1
1,서울특별시 은평구 응암동 103-35 (지1층)
1,서울특별시 강서구 화곡동 1099-5 (지하 1층)
1,서울특별시 강남구 역삼동 637-35
1,서울특별시 강북구 번동 461-91
1,서울특별시 은평구 갈현동 395-13 지층
1,서울특별시 강남구 청담동 132-3
1,서울특별시 동대문구 장안동 543 (한천로 142)
3,서울특별시 강남구 역삼동 699-3
1,서울특별시 종로구 익선동 158-3
1,서울특별시 강남구 역삼동 736-40
3,서울특별시 강동구 천호동 556
3,서울특별시 은평구 불광동 281-92
1,서울특별시 영등포구 대림동 751-5번지 지하1층 
1,서울특별시 영등포구 신길동 215-5
3,서울특별시 영등포구 영등포동4가 98-5
1,서울특별시 영등포구 당산동2가 30-15 지하1층
1,서울특별시 금천구 독산동 959-9 지하1층
1,서울특별시 마포구 서교동 354-19
1,서울특별시 용산구 원효로2가 91-1 지하1층
1,서울특별시 강북구 수유동 229-53 지하1층
1,서울특별시 마포구 서교동 352-16 지층
1,서울특별시 강서구 등촌동 647-41 (지하 1층)
3,서울특별시 영등포구 영등포동1가 582-7
3,서울특별시 영등포구 신길동 192-2
3,서울특별시 영등포구 영등포동 116-6
1,서울특별시 양천구 신정동 1190-6 지하 1층
1,서울특별시 영등포구 당산동3가 132-0 지하1층
1,서울특별시 송파구 방이동 43-6 파크캐슬오피스텔
3,서울특별시 영등포구 여의도동 36-2 702호
3,서울특별시 종로구 관철동 12-6번지 
3,서울특별시 영등포구 영등포동3가 23-11 지하1층
3,서울특별시 영등포구 영등포동7가 104-2
3,서울특별시 종로구 당주동 23-6번지 
3,서울특별시 종로구 청진동 297-0번지 
3,서울특별시 종로구 관철동 11-4번지 
1,서울특별시 영등포구 영등포동5가 19-0
3,서울특별시 영등포구 당산동6가 314-0
3,서울특별시 영등포구 대림동 1032-19
3,서울특별시 영등포구 신길동 842-0번지 
3,서울특별시 중구 북창동 93-3 지하1층
3,서울특별시 영등포구 대림동 863-0
3,서울특별시 영등포구 신길동 215-6
1,서울특별시 동작구 사당동 1044-28 (지하1층)
3,서울특별시 동작구 노량진동 265-3번지 
1,서울특별시 종로구 돈의동 34
3,서울특별시 영등포구 여의도동 14-26 장덕빌딩 지동
3,서울특별시 영등포구 도림동 269-4 지하1층
1,서울특별시 관악구 신림동 403-23
3,서울특별시 종로구 구기동 63-0번지 
3,서울특별시 종로구 낙원동 88-2번지 
1,서울특별시 관악구 봉천동 858-1
1,서울특별시 관악구 신림동 564-41
1,서울특별시 관악구 신림동 1640-30 
3,서울특별시 영등포구 여의도동 43-0 미원빌딩 210호
1,서울특별시 관악구 신림동 1655-16
3,서울특별시 영등포구 영등포동3가 15-1번지 
3,"서울특별시 성북구 장위동 270-362 ,3-5"
1,서울특별시 서초구 서초동 1327-11
3,서울특별시 영등포구 신길동 95-39
3,서울특별시 중구 태평로1가 31-28 (지하1층)
3,서울특별시 영등포구 신길동 235-3
1,서울특별시 서초구 양재동 272-4
3,서울특별시 영등포구 여의도동 43-0 미원빌딩309
3,서울특별시 영등포구 여의도동 43-5
3,서울특별시 영등포구 영등포동7가 4-0
1,서울특별시 서초구 잠원동 39-1
1,서울특별시 서초구 서초동 1337-9 지하1층
1,서울특별시 서초구 양재동 273-3
1,서울특별시 서초구 방배동 761-7번지 
1,서울특별시 서초구 양재동 268-2번지 
3,서울특별시 중구 신당동 251-1 (3층)
1,서울특별시 서초구 서초동 1443-6번지 지하1층 
3,서울특별시 서초구 잠원동 8-9 지하1층
3,서울특별시 서초구 방배동 755-10번지 
3,서울특별시 서초구 양재동 11-24번지 (지하1층) 
3,서울특별시 강남구 신사동 629-27번지 
3,서울특별시 강남구 논현동 202-19  번지 지상1층 
3,서울특별시 영등포구 신길동 65-82
1,서울특별시 서초구 서초동 1589-5
3,서울특별시 영등포구 여의도동 43-0 미원빌딩107
3,서울특별시 중구 을지로1가 37-0 지상3층
3,서울특별시 영등포구 당산동2가 6-0
3,서울특별시 송파구 삼전동 17 금강빌딩
3,서울특별시 영등포구 여의도동 43-0 미원빌딩215
1,서울특별시 은평구 응암동 598-5 (지1층)
1,서울특별시 관악구 봉천동 945-1 지하1층
3,서울특별시 강남구 논현동 61-6
3,서울특별시 영등포구 문래동2가 20-2
