사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat(위도),lon(경도)
2017101700100435.0,2017년 10월 17일 17시,화요일,서울특별시 강북구 미아동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,남,5세,경상,37.585649795676346,126.94954865871794
2017101700100478.0,2017년 10월 17일 18시,화요일,서울특별시 관악구 봉천동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,남,10세,부상신고,37.61627178661646,127.0250251618542
2017101800100129.0,2017년 10월 18일 08시,수요일,서울특별시 서초구 서초동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,보행자,남,5세,경상,37.48934959041458,126.92867330122716
2017101800100569.0,2017년 10월 18일 21시,수요일,서울특별시 노원구 중계동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,보행자,남,4세,경상,37.48847154941313,127.03010002747098
2017101900100535.0,2017년 10월 19일 19시,목요일,서울특별시 강서구 화곡동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,29세,상해없음,보행자,여,12세,경상,37.6427680494269,127.06390562300108
2017102000100419.0,2017년 10월 20일 15시,금요일,서울특별시 강남구 압구정동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,42세,상해없음,보행자,남,6세,중상,37.54790963607894,126.8355113063351
2017102100100289.0,2017년 10월 21일 11시,토요일,서울특별시 서초구 우면동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,9세,기타불명,보행자,여,5세,중상,37.52919014746077,127.03574127973638
2017102100100401.0,2017년 10월 21일 14시,토요일,서울특별시 마포구 합정동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,보행자,여,9세,경상,37.46260962047954,127.0273784468032
2017102100100581.0,2017년 10월 21일 18시,토요일,서울특별시 서초구 서초동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,6세,부상신고,37.54629462931919,126.91347726074524
2017102300100122.0,2017년 10월 23일 08시,월요일,서울특별시 노원구 중계동,부상신고사고,0.0,0.0,0.0,1.0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,이륜,남,54세,상해없음,보행자,여,10세,부상신고,37.50255127455742,127.0234724409946
2017102300100287.0,2017년 10월 23일 13시,월요일,서울특별시 구로구 개봉동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,보행자,여,10세,경상,37.643281633424365,127.06385728018827
2017102300100318.0,2017년 10월 23일 14시,월요일,서울특별시 광진구 광장동,중상사고,0.0,1.0,2.0,0.0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,여,12세,경상,37.48328102074434,126.85302765212178
2017102300100505.0,2017년 10월 23일 18시,월요일,서울특별시 양천구 신월동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,10세,경상,37.54393015097374,127.09795537995892
2017102400100212.0,2017년 10월 24일 10시,화요일,서울특별시 광진구 중곡동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,35세,기타불명,보행자,여,3세,경상,37.52202904811087,126.83338705295196
2017102500100597.0,2017년 10월 25일 19시,수요일,서울특별시 강동구 고덕동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,72세,상해없음,보행자,남,3세,경상,37.5572287811102,127.08341434817066
2017102600100122.0,2017년 10월 26일 08시,목요일,서울특별시 성북구 종암동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,여,11세,경상,37.55487572181976,127.15601095068236
2017102700100394.0,2017년 10월 27일 15시,금요일,서울특별시 중랑구 면목동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,보행자,여,10세,경상,37.59632023056204,127.03284369412064
2017102700100399.0,2017년 10월 27일 15시,금요일,서울특별시 은평구 구산동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,여,9세,중상,37.58443600862579,127.08468987764934
2017102800100187.0,2017년 10월 28일 09시,토요일,서울특별시 강남구 자곡동,중상사고,0.0,1.0,0.0,0.0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,68세,상해없음,보행자,여,10세,중상,37.60951299163936,126.91492990008048
2017102800100641.0,2017년 10월 28일 19시,토요일,서울특별시 노원구 상계동,경상사고,0.0,0.0,1.0,1.0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,18세,부상신고,보행자,남,8세,경상,37.47289211419161,127.10005521679896
2017102800100756.0,2017년 10월 28일 22시,토요일,서울특별시 용산구 이태원동,중상사고,0.0,1.0,0.0,1.0,차대사람 - 보도통행중,보행자보호의무위반,젖음/습기,맑음,교차로 - 교차로부근,승용,남,22세,상해없음,보행자,남,37세,중상,37.66162496805324,127.07403344821698
2017102900100390.0,2017년 10월 29일 18시,일요일,서울특별시 은평구 역촌동,경상사고,0.0,0.0,1.0,0.0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,여,7세,경상,37.5338033248137,126.98945403528384
