사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노인운전자사고,2020040800100157,2020년 4월 8일 10시,수요일,부산광역시 금정구 금사동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,승용,여,48세,부상신고
노인운전자사고,2020040800100274,2020년 4월 8일 14시,수요일,부산광역시 사상구 학장동,부상신고사고,0,0,0,1,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,원동기,남,78세,부상신고,화물,남,47세,상해없음
노인운전자사고,2020040800100425,2020년 4월 8일 18시,수요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,67세,상해없음,보행자,남,36세,경상
노인운전자사고,2020040900100178,2020년 4월 9일 11시,목요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,건설기계,남,72세,상해없음,승용,남,52세,경상
노인운전자사고,2020040900100311,2020년 4월 9일 15시,목요일,부산광역시 강서구 송정동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,68세,상해없음,승용,남,28세,경상
노인운전자사고,2020041000100141,2020년 4월 10일 10시,금요일,부산광역시 부산진구 부암동,중상사고,0,1,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,66세,부상신고,,,,
노인운전자사고,2020041000100142,2020년 4월 10일 10시,금요일,부산광역시 수영구 망미동,중상사고,0,2,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,67세,상해없음,승용,여,47세,중상
노인운전자사고,2020041000100174,2020년 4월 10일 11시,금요일,부산광역시 부산진구 초읍동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,79세,상해없음,보행자,여,38세,경상
노인운전자사고,2020041000100251,2020년 4월 10일 13시,금요일,부산광역시 사상구 감전동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,79세,경상,승용,여,59세,경상
노인운전자사고,2020041000100354,2020년 4월 10일 16시,금요일,부산광역시 해운대구 우동,중상사고,0,1,0,1,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,남,74세,중상
노인운전자사고,2020041100100075,2020년 4월 11일 07시,토요일,부산광역시 서구 남부민동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,70세,경상,,,,
노인운전자사고,2020041100100265,2020년 4월 11일 14시,토요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,71세,상해없음,승용,남,57세,경상
노인운전자사고,2020041100100297,2020년 4월 11일 15시,토요일,부산광역시 수영구 광안동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,75세,상해없음,이륜,남,22세,중상
노인운전자사고,2.02004E+15,2020년 4월 11일 16시,토요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,화물,남,63세,경상
노인운전자사고,2020041100100341,2020년 4월 11일 16시,토요일,부산광역시 동래구 낙민동,중상사고,0,1,0,0,차대사람 - 횡단중,중앙선침범,건조,맑음,교차로 - 교차로안,승합,남,76세,상해없음,보행자,여,43세,중상
노인운전자사고,2020041100100374,2020년 4월 11일 17시,토요일,부산광역시 동래구 낙민동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,68세,상해없음,보행자,여,16세,경상
노인운전자사고,2020041100100454,2020년 4월 11일 19시,토요일,부산광역시 사상구 괘법동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,75세,상해없음,이륜,남,18세,경상
노인운전자사고,2020041100100508,2020년 4월 11일 21시,토요일,부산광역시 동래구 사직동,중상사고,0,1,3,0,차대차 - 기타,중앙선침범,젖음/습기,비,단일로 - 기타,승용,남,76세,중상,승용,남,38세,경상
노인운전자사고,2020041200100134,2020년 4월 12일 11시,일요일,부산광역시 동구 범일동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,71세,상해없음,승용,여,46세,경상
노인운전자사고,2020041300100163,2020년 4월 13일 11시,월요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,보행자,여,52세,중상
노인운전자사고,2020041300100164,2020년 4월 13일 11시,월요일,부산광역시 사상구 덕포동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,이륜,남,29세,경상
노인운전자사고,2020041300100265,2020년 4월 13일 14시,월요일,부산광역시 연제구 연산동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,42세,경상
노인운전자사고,2.02004E+15,2020년 4월 13일 15시,월요일,부산광역시 남구 대연동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,이륜,남,31세,중상
노인운전자사고,2020041400100002,2020년 4월 14일 00시,화요일,부산광역시 동래구 수안동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,65세,상해없음,보행자,남,47세,사망
노인운전자사고,2020041400100051,2020년 4월 14일 06시,화요일,부산광역시 강서구 명지동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,남,66세,상해없음,승용,남,51세,경상
노인운전자사고,2020041400100202,2020년 4월 14일 12시,화요일,부산광역시 동래구 복천동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,이륜,남,36세,경상
노인운전자사고,2020041400100333,2020년 4월 14일 16시,화요일,부산광역시 동래구 명장동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,여,50세,경상
노인운전자사고,2020041400100408,2020년 4월 14일 17시,화요일,부산광역시 강서구 죽동동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,화물,남,25세,경상
노인운전자사고,2020041400100472,2020년 4월 14일 19시,화요일,부산광역시 남구 용호동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,77세,상해없음,보행자,여,48세,경상
노인운전자사고,2020041400100586,2020년 4월 14일 23시,화요일,부산광역시 영도구 동삼동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,59세,중상
노인운전자사고,2020041500100023,2020년 4월 15일 01시,수요일,부산광역시 금정구 장전동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,기타불명,승용,남,44세,상해없음
노인운전자사고,2020041500100173,2020년 4월 15일 12시,수요일,부산광역시 동구 초량동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,50세,중상
노인운전자사고,2020041500100226,2020년 4월 15일 14시,수요일,부산광역시 사상구 삼락동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,화물,남,58세,중상
노인운전자사고,2020041500100393,2020년 4월 15일 19시,수요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,여,45세,경상
노인운전자사고,2020041500100413,2020년 4월 15일 20시,수요일,부산광역시 영도구 청학동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,72세,상해없음,이륜,남,57세,중상
노인운전자사고,2020041600100146,2020년 4월 16일 11시,목요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,66세,경상,승용,남,38세,상해없음
