사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,고속도로명
2022092700100244,2022년 9월 27일 12시,화요일,경기도 광명시 일직동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,여,39세,경상,서해안고속도로
2022092700100373,2022년 9월 27일 16시,화요일,서울특별시 금천구 시흥동,경상사고,0,0,1,1,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,특수,남,56세,상해없음,승용,남,38세,부상신고,서해안고속도로
2022092700100440,2022년 9월 27일 17시,화요일,경기도 시흥시 목감동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,62세,경상,서해안고속도로
2022092700100645,2022년 9월 27일 22시,화요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,43세,상해없음,화물,남,65세,경상,서해안고속도로
2022092900100271,2022년 9월 29일 13시,목요일,경기도 화성시 팔탄면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승용,남,55세,경상,서해안고속도로
2022100100100263,2022년 10월 1일 12시,토요일,전라북도 부안군 부안읍,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,58세,상해없음,서해안고속도로
2022100100100669,2022년 10월 1일 23시,토요일,경기도 안산시 상록구 장하동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,47세,상해없음,승용,남,21세,상해없음,서해안고속도로
2022100200100053,2022년 10월 2일 05시,일요일,충청남도 홍성군 갈산면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,26세,상해없음,승용,남,23세,경상,서해안고속도로
2022100200100118,2022년 10월 2일 11시,일요일,충청남도 서산시 운산면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,23세,상해없음,승용,남,32세,경상,서해안고속도로
2022100400100496,2022년 10월 4일 20시,화요일,경기도 안산시 상록구 부곡동,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,59세,사망,화물,남,45세,경상,서해안고속도로
