사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
택시사고,2022062800100042,2022년 6월 28일 06시,화요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승합,남,44세,경상
택시사고,2.02206E+15,2022년 6월 28일 10시,화요일,부산광역시 서구 아미동1가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,보행자,남,43세,경상
택시사고,2022062800100196,2022년 6월 28일 12시,화요일,부산광역시 기장군 정관읍,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,기타,흐림,교차로 - 교차로안,승용,남,66세,상해없음,승용,여,36세,경상
택시사고,2.02206E+15,2022년 6월 28일 17시,화요일,부산광역시 해운대구 중동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,보행자,여,70세,중상
택시사고,2022062800100559,2022년 6월 28일 23시,화요일,부산광역시 부산진구 개금동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,69세,상해없음,이륜,남,35세,중상
택시사고,2022062900100032,2022년 6월 29일 03시,수요일,부산광역시 동구 초량동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,비,단일로 - 지하차도(도로)내,승용,남,67세,상해없음,보행자,남,41세,중상
택시사고,2022062900100082,2022년 6월 29일 08시,수요일,부산광역시 해운대구 우동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,65세,상해없음,자전거,남,44세,경상
택시사고,2022062900100204,2022년 6월 29일 12시,수요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,43세,경상
택시사고,2022062900100394,2022년 6월 29일 17시,수요일,부산광역시 연제구 거제동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,젖음/습기,비,교차로 - 교차로안,승용,남,63세,상해없음,이륜,남,51세,중상
택시사고,2.02206E+15,2022년 6월 30일 21시,목요일,부산광역시 중구 영주동,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,61세,상해없음
택시사고,2022063000100532,2022년 6월 30일 21시,목요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,69세,상해없음,이륜,남,25세,경상
택시사고,2022070100100689,2022년 7월 1일 23시,금요일,부산광역시 중구 중앙동4가,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,승용,남,28세,상해없음
택시사고,2022070200100022,2022년 7월 2일 01시,토요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,이륜,남,27세,경상
택시사고,2022070200100409,2022년 7월 2일 17시,토요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,이륜,남,54세,경상
택시사고,2022070200100448,2022년 7월 2일 18시,토요일,부산광역시 수영구 광안동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,53세,상해없음,보행자,여,22세,경상
택시사고,2022070200100512,2022년 7월 2일 20시,토요일,부산광역시 남구 대연동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,승합,남,57세,경상
택시사고,2022070200100514,2022년 7월 2일 20시,토요일,부산광역시 부산진구 부암동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,기타,단일로 - 기타,승용,남,52세,상해없음,자전거,여,52세,경상
택시사고,2022070300100085,2022년 7월 3일 08시,일요일,부산광역시 서구 충무동1가,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,이륜,남,27세,중상
택시사고,2022070300100194,2022년 7월 3일 13시,일요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,남,39세,경상
택시사고,2022070400100079,2022년 7월 4일 08시,월요일,부산광역시 동구 초량동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,70세,상해없음
택시사고,2022070400100353,2022년 7월 4일 16시,월요일,부산광역시 남구 대연동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,64세,상해없음,승합,남,53세,상해없음
택시사고,2022070400100579,2022년 7월 4일 23시,월요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,76세,상해없음,승용,여,26세,경상
택시사고,2022070500100002,2022년 7월 5일 00시,화요일,부산광역시 중구 보수동1가,경상사고,0,0,3,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,69세,상해없음,승합,남,38세,경상
택시사고,2022070500100003,2022년 7월 5일 00시,화요일,부산광역시 동구 범일동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,33세,경상
택시사고,2022070500100014,2022년 7월 5일 02시,화요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,24세,경상
택시사고,2022070500100187,2022년 7월 5일 11시,화요일,부산광역시 남구 문현동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승합,남,56세,상해없음
택시사고,2022070500100213,2022년 7월 5일 12시,화요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대차 - 기타,신호위반,젖음/습기,비,교차로 - 교차로안,승용,남,64세,상해없음,승용,여,64세,경상
택시사고,2022070500100282,2022년 7월 5일 14시,화요일,부산광역시 부산진구 범천동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,교차로 - 교차로부근,승용,남,44세,상해없음,승용,남,45세,경상
택시사고,2022070600100185,2022년 7월 6일 11시,수요일,부산광역시 남구 용호동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,69세,상해없음,이륜,남,52세,부상신고
택시사고,2022070700100286,2022년 7월 7일 13시,목요일,부산광역시 수영구 남천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,70세,상해없음,승용,남,29세,경상
택시사고,2022070700100321,2022년 7월 7일 14시,목요일,부산광역시 해운대구 반송동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,남,80세,중상
택시사고,2022070700100322,2022년 7월 7일 14시,목요일,부산광역시 강서구 대저1동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,78세,상해없음,승용,여,24세,중상
택시사고,2022070700100375,2022년 7월 7일 16시,목요일,부산광역시 동래구 안락동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,59세,상해없음,승용,남,34세,경상
택시사고,2022070700100615,2022년 7월 7일 23시,목요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,기타,단일로 - 기타,승용,남,55세,상해없음,보행자,남,24세,경상
택시사고,2022070800100013,2022년 7월 8일 01시,금요일,부산광역시 중구 중앙동4가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,보행자,여,59세,중상
택시사고,2022070800100056,2022년 7월 8일 07시,금요일,부산광역시 수영구 남천동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,이륜,남,22세,경상
택시사고,2022070800100258,2022년 7월 8일 13시,금요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,75세,상해없음,특수,남,30세,경상
택시사고,2022070800100328,2022년 7월 8일 15시,금요일,부산광역시 서구 토성동4가,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,원동기,남,80세,중상
택시사고,2022070900100427,2022년 7월 9일 18시,토요일,부산광역시 동래구 온천동,중상사고,0,1,0,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,이륜,남,46세,중상
택시사고,2022071000100006,2022년 7월 10일 00시,일요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,70세,상해없음,보행자,여,23세,경상
택시사고,2022071000100143,2022년 7월 10일 11시,일요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,67세,경상,승용,여,56세,상해없음
택시사고,2022071100100011,2022년 7월 11일 01시,월요일,부산광역시 수영구 광안동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,이륜,남,40세,중상
택시사고,2022071100100151,2022년 7월 11일 10시,월요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,74세,경상,승용,남,33세,경상
택시사고,2022071200100387,2022년 7월 12일 18시,화요일,부산광역시 수영구 민락동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,55세,상해없음
택시사고,2022071200100472,2022년 7월 12일 21시,화요일,부산광역시 동구 수정동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,70세,상해없음,보행자,남,56세,경상
택시사고,2022071300100319,2022년 7월 13일 16시,수요일,부산광역시 수영구 남천동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,59세,상해없음,이륜,남,26세,중상
택시사고,2022071400100622,2022년 7월 14일 22시,목요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,보행자,남,31세,경상
택시사고,2022071500100013,2022년 7월 15일 01시,금요일,부산광역시 서구 동대신동2가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,여,26세,중상
택시사고,2022071500100184,2022년 7월 15일 11시,금요일,부산광역시 서구 충무동1가,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,67세,상해없음,화물,남,54세,경상
택시사고,2022071500100277,2022년 7월 15일 14시,금요일,부산광역시 수영구 망미동,중상사고,0,1,1,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로부근,승용,남,72세,경상,승용,남,43세,중상
택시사고,2022071500100278,2022년 7월 15일 14시,금요일,부산광역시 수영구 망미동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,72세,상해없음,보행자,남,43세,중상
택시사고,2022071600100223,2022년 7월 16일 13시,토요일,부산광역시 부산진구 전포동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,69세,상해없음,보행자,남,24세,경상
택시사고,2022071600100261,2022년 7월 16일 14시,토요일,부산광역시 기장군 정관읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,59세,상해없음,이륜,남,33세,경상
택시사고,2022071600100344,2022년 7월 16일 16시,토요일,부산광역시 기장군 기장읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,63세,중상
택시사고,2022071600100443,2022년 7월 16일 19시,토요일,부산광역시 서구 아미동2가,중상사고,0,2,3,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,75세,상해없음,승용,남,59세,중상
택시사고,2022071600100539,2022년 7월 16일 23시,토요일,부산광역시 중구 남포동6가,부상신고사고,0,0,0,1,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승합,남,52세,상해없음
택시사고,2022071700100082,2022년 7월 17일 09시,일요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,56세,상해없음,승용,여,77세,경상
택시사고,2022071800100129,2022년 7월 18일 09시,월요일,부산광역시 동구 범일동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,76세,상해없음,승용,남,27세,경상
택시사고,2022071800100191,2022년 7월 18일 11시,월요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,젖음/습기,비,교차로 - 교차로안,승용,남,61세,상해없음,자전거,남,62세,중상
택시사고,2022071800100365,2022년 7월 18일 16시,월요일,부산광역시 남구 용호동,경상사고,0,0,3,0,차대차 - 기타,신호위반,젖음/습기,맑음,교차로 - 교차로부근,승용,남,70세,경상,승용,여,67세,경상
택시사고,2022071900100015,2022년 7월 19일 01시,화요일,부산광역시 연제구 거제동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,보행자,남,42세,중상
택시사고,2022071900100565,2022년 7월 19일 23시,화요일,부산광역시 사상구 주례동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,74세,기타불명,보행자,남,22세,중상
택시사고,2022072000100199,2022년 7월 20일 11시,수요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,66세,상해없음,화물,여,57세,경상
택시사고,2022072000100477,2022년 7월 20일 19시,수요일,부산광역시 북구 구포동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,이륜,남,39세,중상
